12:47:22.552 [Philosopher-1; Meals=0]: I'm alive!
12:47:25.062 [Philosopher-25; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:47:25.174 [Philosopher-13; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:25.175 [Philosopher-8; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:25.178 [Philosopher-24; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:25.319 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:25.402 [Philosopher-30; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:47:25.490 [Philosopher-15; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:47:25.491 [Philosopher-6; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:47:25.502 [Philosopher-14; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:47:25.503 [Philosopher-29; Meals=0]: Release my fork (Fork-4 from Chair-4)
12:47:25.944 [Philosopher-13; Meals=0]: Release my fork (Fork-7 from Chair-7)
12:47:25.944 [Philosopher-25; Meals=0]: Release my fork (Fork-3 from Chair-3)
12:47:26.112 [Philosopher-8; Meals=0]: Release my fork (Fork-8 from Chair-8)
12:47:26.228 [Philosopher-30; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:47:26.260 [Philosopher-24; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:26.367 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:26.449 [Philosopher-24; Meals=0]: Found 2 forks! :D
12:47:26.459 [Philosopher-24; Meals=1]: Eating for 1 ms
12:47:26.482 [Philosopher-24; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:47:27.033 [Philosopher-24; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:47:27.479 [Philosopher-24; Meals=1]: Stand up from seat (Chair-6)
12:47:27.570 [Philosopher-8; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:27.669 [Philosopher-24; Meals=1]: Mediating for 5 ms
12:47:27.669 [Philosopher-44; Meals=0]: Found a nice seat (Chair-6)
12:47:28.152 [Philosopher-8; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:28.322 [Philosopher-24; Meals=1]: Waiting for a nice seat...
12:47:28.428 [Philosopher-44; Meals=0]: Waiting for 2 forks...
12:47:28.531 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:28.536 [Philosopher-13; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:28.543 [Philosopher-8; Meals=0]: Found 2 forks! :D
12:47:28.670 [Philosopher-44; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:29.001 [Philosopher-44; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:47:29.034 [Philosopher-13; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:47:29.034 [Philosopher-6; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:29.034 [Philosopher-8; Meals=1]: Eating for 1 ms
12:47:29.034 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:29.125 [Philosopher-14; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:47:29.283 [Philosopher-30; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:47:29.438 [Philosopher-6; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:47:29.574 [Philosopher-29; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:47:29.587 [Philosopher-14; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:47:29.588 [Philosopher-8; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:47:29.734 [Philosopher-30; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:29.736 [Philosopher-15; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:29.932 [Philosopher-29; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:47:30.024 [Philosopher-15; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:47:30.024 [Philosopher-30; Meals=0]: Found 2 forks! :D
12:47:30.028 [Philosopher-8; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:47:30.277 [Philosopher-29; Meals=0]: Found 2 forks! :D
12:47:30.400 [Philosopher-6; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:30.549 [Philosopher-30; Meals=1]: Eating for 1 ms
12:47:30.552 [Philosopher-29; Meals=1]: Eating for 1 ms
12:47:30.553 [Philosopher-8; Meals=1]: Stand up from seat (Chair-8)
12:47:30.882 [Philosopher-30; Meals=1]: Release my fork (Fork-10 from Chair-10)
12:47:30.884 [Philosopher-29; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:47:30.884 [Philosopher-6; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:47:30.926 [Philosopher-32; Meals=0]: Found a nice seat (Chair-8)
12:47:30.926 [Philosopher-8; Meals=1]: Mediating for 5 ms
12:47:31.064 [Philosopher-25; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:47:31.064 [Philosopher-30; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:47:31.069 [Philosopher-29; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:47:31.228 [Philosopher-32; Meals=0]: Waiting for 2 forks...
12:47:31.344 [Philosopher-30; Meals=1]: Stand up from seat (Chair-10)
12:47:31.344 [Philosopher-44; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:31.380 [Philosopher-8; Meals=1]: Waiting for a nice seat...
12:47:31.474 [Philosopher-29; Meals=1]: Stand up from seat (Chair-4)
12:47:31.476 [Philosopher-25; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:47:31.879 [Philosopher-29; Meals=1]: Mediating for 5 ms
12:47:32.040 [Philosopher-40; Meals=0]: Found a nice seat (Chair-4)
12:47:32.043 [Philosopher-32; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:32.045 [Philosopher-30; Meals=1]: Mediating for 5 ms
12:47:32.047 [Philosopher-10; Meals=0]: Found a nice seat (Chair-10)
12:47:32.201 [Philosopher-44; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:32.317 [Philosopher-25; Meals=0]: Found 2 forks! :D
12:47:32.339 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:32.344 [Philosopher-29; Meals=1]: Waiting for a nice seat...
12:47:32.443 [Philosopher-40; Meals=0]: Waiting for 2 forks...
12:47:32.627 [Philosopher-10; Meals=0]: Waiting for 2 forks...
12:47:32.628 [Philosopher-32; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:32.661 [Philosopher-30; Meals=1]: Waiting for a nice seat...
12:47:32.796 [Philosopher-44; Meals=0]: Found 2 forks! :D
12:47:32.985 [Philosopher-25; Meals=1]: Eating for 1 ms
12:47:33.143 [Philosopher-14; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:33.143 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:33.149 [Philosopher-40; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:47:33.206 [Philosopher-10; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:47:33.206 [Philosopher-32; Meals=0]: Found 2 forks! :D
12:47:33.226 [Philosopher-44; Meals=1]: Eating for 1 ms
12:47:33.380 [Philosopher-40; Meals=0]: Release my fork (Fork-4 from Chair-4)
12:47:33.518 [Philosopher-14; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:47:33.576 [Philosopher-25; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:47:33.653 [Philosopher-32; Meals=1]: Eating for 1 ms
12:47:33.745 [Philosopher-44; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:47:33.919 [Philosopher-32; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:47:33.940 [Philosopher-10; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:33.940 [Philosopher-44; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:47:33.948 [Philosopher-25; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:47:34.130 [Philosopher-10; Meals=0]: Found 2 forks! :D
12:47:34.169 [Philosopher-44; Meals=1]: Stand up from seat (Chair-6)
12:47:34.173 [Philosopher-32; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:47:34.278 [Philosopher-25; Meals=1]: Stand up from seat (Chair-3)
12:47:34.279 [Philosopher-43; Meals=0]: Found a nice seat (Chair-6)
12:47:34.279 [Philosopher-44; Meals=1]: Mediating for 5 ms
12:47:34.280 [Philosopher-10; Meals=1]: Eating for 1 ms
12:47:34.503 [Philosopher-25; Meals=1]: Mediating for 5 ms
12:47:34.503 [Philosopher-30; Meals=1]: Found a nice seat (Chair-3)
12:47:34.503 [Philosopher-43; Meals=0]: Waiting for 2 forks...
12:47:34.634 [Philosopher-32; Meals=1]: Stand up from seat (Chair-8)
12:47:34.636 [Philosopher-44; Meals=1]: Waiting for a nice seat...
12:47:34.751 [Philosopher-15; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:34.901 [Philosopher-43; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:34.933 [Philosopher-25; Meals=1]: Waiting for a nice seat...
12:47:34.998 [Philosopher-10; Meals=1]: Release my fork (Fork-10 from Chair-10)
12:47:35.080 [Philosopher-30; Meals=1]: Waiting for 2 forks...
12:47:35.115 [Philosopher-32; Meals=1]: Mediating for 5 ms
12:47:35.115 [Philosopher-7; Meals=0]: Found a nice seat (Chair-8)
12:47:35.159 [Philosopher-43; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:47:35.160 [Philosopher-15; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:47:35.504 [Philosopher-30; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:47:35.505 [Philosopher-10; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:47:35.629 [Philosopher-15; Meals=0]: Found 2 forks! :D
12:47:35.630 [Philosopher-7; Meals=0]: Waiting for 2 forks...
12:47:35.671 [Philosopher-32; Meals=1]: Waiting for a nice seat...
12:47:35.902 [Philosopher-30; Meals=1]: Picked up fork (Fork-2 from Chair-2)
12:47:35.993 [Philosopher-7; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:36.102 [Philosopher-15; Meals=1]: Eating for 1 ms
12:47:36.103 [Philosopher-30; Meals=1]: Found 2 forks! :D
12:47:36.135 [Philosopher-10; Meals=1]: Stand up from seat (Chair-10)
12:47:36.136 [Philosopher-6; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:36.289 [Philosopher-7; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:36.436 [Philosopher-15; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:47:36.552 [Philosopher-30; Meals=2]: Eating for 1 ms
12:47:36.552 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:36.714 [Philosopher-6; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:47:36.715 [Philosopher-15; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:47:36.715 [Philosopher-7; Meals=0]: Found 2 forks! :D
12:47:36.715 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:36.719 [Philosopher-10; Meals=1]: Mediating for 5 ms
12:47:36.719 [Philosopher-4; Meals=0]: Found a nice seat (Chair-10)
12:47:36.889 [Philosopher-30; Meals=2]: Release my fork (Fork-3 from Chair-3)
12:47:37.018 [Philosopher-6; Meals=0]: Found 2 forks! :D
12:47:37.019 [Philosopher-13; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:37.169 [Philosopher-7; Meals=1]: Eating for 1 ms
12:47:37.337 [Philosopher-4; Meals=0]: Waiting for 2 forks...
12:47:37.491 [Philosopher-15; Meals=1]: Stand up from seat (Chair-5)
12:47:37.578 [Philosopher-13; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:47:37.614 [Philosopher-6; Meals=1]: Eating for 1 ms
12:47:37.616 [Philosopher-30; Meals=2]: Release my fork (Fork-2 from Chair-2)
12:47:37.630 [Philosopher-10; Meals=1]: Waiting for a nice seat...
12:47:37.882 [Philosopher-7; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:47:37.928 [Philosopher-15; Meals=1]: Mediating for 5 ms
12:47:37.929 [Philosopher-34; Meals=0]: Found a nice seat (Chair-5)
12:47:37.977 [Philosopher-4; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:37.978 [Philosopher-30; Meals=2]: Stand up from seat (Chair-3)
12:47:38.077 [Philosopher-6; Meals=1]: Release my fork (Fork-10 from Chair-10)
12:47:38.145 [Philosopher-7; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:47:38.214 [Philosopher-15; Meals=1]: Waiting for a nice seat...
12:47:38.300 [Philosopher-34; Meals=0]: Waiting for 2 forks...
12:47:38.524 [Philosopher-4; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:38.640 [Philosopher-7; Meals=1]: Stand up from seat (Chair-8)
12:47:38.705 [Philosopher-6; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:47:38.706 [Philosopher-1; Meals=0]: Found a nice seat (Chair-3)
12:47:38.706 [Philosopher-30; Meals=2]: Mediating for 5 ms
12:47:38.750 [Philosopher-40; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:47:38.877 [Philosopher-34; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:39.194 [Philosopher-34; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:47:39.194 [Philosopher-40; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:47:39.223 [Philosopher-30; Meals=2]: Waiting for a nice seat...
12:47:39.256 [Philosopher-6; Meals=1]: Stand up from seat (Chair-1)
12:47:39.257 [Philosopher-1; Meals=0]: Waiting for 2 forks...
12:47:39.269 [Philosopher-20; Meals=0]: Found a nice seat (Chair-8)
12:47:39.309 [Philosopher-7; Meals=1]: Mediating for 5 ms
12:47:39.480 [Philosopher-14; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:47:39.763 [Philosopher-40; Meals=0]: Found 2 forks! :D
12:47:39.864 [Philosopher-30; Meals=2]: Found a nice seat (Chair-1)
12:47:39.865 [Philosopher-7; Meals=1]: Waiting for a nice seat...
12:47:39.904 [Philosopher-6; Meals=1]: Mediating for 5 ms
12:47:39.905 [Philosopher-14; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:39.905 [Philosopher-20; Meals=0]: Waiting for 2 forks...
12:47:39.906 [Philosopher-40; Meals=1]: Eating for 1 ms
12:47:40.086 [Philosopher-30; Meals=2]: Waiting for 2 forks...
12:47:40.215 [Philosopher-43; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:40.223 [Philosopher-6; Meals=1]: Waiting for a nice seat...
12:47:40.376 [Philosopher-20; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:40.379 [Philosopher-40; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:47:40.422 [Philosopher-14; Meals=0]: Found 2 forks! :D
12:47:40.503 [Philosopher-40; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:47:40.581 [Philosopher-20; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:40.588 [Philosopher-43; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:40.589 [Philosopher-30; Meals=2]: Picked up fork (Fork-10 from Chair-10)
12:47:40.723 [Philosopher-14; Meals=1]: Eating for 1 ms
12:47:40.723 [Philosopher-40; Meals=1]: Stand up from seat (Chair-4)
12:47:40.959 [Philosopher-43; Meals=0]: Found 2 forks! :D
12:47:40.960 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:40.970 [Philosopher-30; Meals=2]: Release my fork (Fork-10 from Chair-10)
12:47:41.021 [Philosopher-20; Meals=0]: Found 2 forks! :D
12:47:41.021 [Philosopher-25; Meals=1]: Found a nice seat (Chair-4)
12:47:41.022 [Philosopher-43; Meals=1]: Eating for 1 ms
12:47:41.023 [Philosopher-40; Meals=1]: Mediating for 5 ms
12:47:41.025 [Philosopher-14; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:47:41.201 [Philosopher-25; Meals=1]: Waiting for 2 forks...
12:47:41.203 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:47:41.355 [Philosopher-43; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:47:41.405 [Philosopher-40; Meals=1]: Waiting for a nice seat...
12:47:41.613 [Philosopher-20; Meals=1]: Eating for 1 ms
12:47:41.614 [Philosopher-43; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:47:41.646 [Philosopher-25; Meals=1]: Picked up fork (Fork-4 from Chair-4)
12:47:41.658 [Philosopher-14; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:47:41.860 [Philosopher-14; Meals=1]: Stand up from seat (Chair-2)
12:47:41.860 [Philosopher-43; Meals=1]: Stand up from seat (Chair-6)
12:47:41.861 [Philosopher-25; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:47:41.893 [Philosopher-20; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:47:42.169 [Philosopher-25; Meals=1]: Found 2 forks! :D
12:47:42.302 [Philosopher-43; Meals=1]: Mediating for 5 ms
12:47:42.303 [Philosopher-42; Meals=0]: Found a nice seat (Chair-2)
12:47:42.304 [Philosopher-14; Meals=1]: Mediating for 5 ms
12:47:42.314 [Philosopher-20; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:47:42.316 [Philosopher-38; Meals=0]: Found a nice seat (Chair-6)
12:47:42.414 [Philosopher-42; Meals=0]: Waiting for 2 forks...
12:47:42.485 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:47:42.700 [Philosopher-14; Meals=1]: Waiting for a nice seat...
12:47:42.700 [Philosopher-43; Meals=1]: Waiting for a nice seat...
12:47:42.703 [Philosopher-25; Meals=2]: Eating for 1 ms
12:47:42.816 [Philosopher-20; Meals=1]: Stand up from seat (Chair-8)
12:47:42.942 [Philosopher-9; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:47:42.956 [Philosopher-38; Meals=0]: Waiting for 2 forks...
12:47:42.963 [Philosopher-42; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:47:43.111 [Philosopher-34; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:43.269 [Philosopher-30; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:47:43.269 [Philosopher-38; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:47:43.269 [Philosopher-42; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:47:43.270 [Philosopher-20; Meals=1]: Mediating for 5 ms
12:47:43.270 [Philosopher-41; Meals=0]: Found a nice seat (Chair-8)
12:47:43.271 [Philosopher-25; Meals=2]: Release my fork (Fork-3 from Chair-3)
12:47:43.341 [Philosopher-13; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:47:43.463 [Philosopher-34; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:47:43.463 [Philosopher-9; Meals=0]: Found 2 forks! :D
12:47:43.614 [Philosopher-30; Meals=2]: Picked up fork (Fork-10 from Chair-10)
