13:11:30.809 [Hungry-Philosopher-1; Meals=0]: I'm alive!
13:11:31.258 [Hungry-Philosopher-1; Meals=2]: Stand up from seat (Chair-2)
13:11:31.258 [Hungry-Philosopher-2; Meals=1]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:31.268 [Hungry-Philosopher-5; Meals=2]: Eating for 1 ms
13:11:31.270 [Hungry-Philosopher-3; Meals=1]: Waiting for 2 forks...
13:11:31.271 [Hungry-Philosopher-2; Meals=2]: Eating for 1 ms
13:11:31.274 [Hungry-Philosopher-4; Meals=1]: Waiting for a nice seat...
13:11:31.290 [Hungry-Philosopher-1; Meals=2]: Mediating for 5 ms
13:11:31.292 [Hungry-Philosopher-5; Meals=2]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:31.296 [Hungry-Philosopher-4; Meals=1]: Found a nice seat (Chair-4)
13:11:31.308 [Hungry-Philosopher-2; Meals=2]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:31.312 [Hungry-Philosopher-3; Meals=1]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:31.312 [Hungry-Philosopher-5; Meals=2]: Stand up from seat (Chair-5)
13:11:31.319 [Hungry-Philosopher-4; Meals=1]: Waiting for 2 forks...
13:11:31.320 [Hungry-Philosopher-2; Meals=2]: Stand up from seat (Chair-3)
13:11:31.322 [Hungry-Philosopher-1; Meals=2]: Waiting for a nice seat...
13:11:31.323 [Hungry-Philosopher-3; Meals=2]: Eating for 1 ms
13:11:31.334 [Hungry-Philosopher-5; Meals=2]: Mediating for 5 ms
13:11:31.339 [Hungry-Philosopher-1; Meals=2]: Found a nice seat (Chair-2)
13:11:31.348 [Hungry-Philosopher-4; Meals=1]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:31.353 [Hungry-Philosopher-2; Meals=2]: Mediating for 5 ms
13:11:31.359 [Hungry-Philosopher-1; Meals=2]: Waiting for 2 forks...
13:11:31.362 [Hungry-Philosopher-4; Meals=2]: Eating for 1 ms
13:11:31.367 [Hungry-Philosopher-3; Meals=2]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:31.379 [Hungry-Philosopher-5; Meals=2]: Waiting for a nice seat...
13:11:31.420 [Hungry-Philosopher-2; Meals=2]: Waiting for a nice seat...
13:11:31.429 [Hungry-Philosopher-3; Meals=2]: Stand up from seat (Chair-1)
13:11:31.432 [Hungry-Philosopher-1; Meals=2]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:31.434 [Hungry-Philosopher-4; Meals=2]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:31.443 [Hungry-Philosopher-5; Meals=2]: Found a nice seat (Chair-5)
13:11:31.473 [Hungry-Philosopher-2; Meals=2]: Found a nice seat (Chair-3)
13:11:31.474 [Hungry-Philosopher-3; Meals=2]: Mediating for 5 ms
13:11:31.487 [Hungry-Philosopher-1; Meals=3]: Eating for 1 ms
13:11:31.493 [Hungry-Philosopher-4; Meals=2]: Stand up from seat (Chair-4)
13:11:31.496 [Hungry-Philosopher-5; Meals=2]: Waiting for 2 forks...
13:11:31.504 [Hungry-Philosopher-2; Meals=2]: Waiting for 2 forks...
13:11:31.508 [Hungry-Philosopher-4; Meals=2]: Mediating for 5 ms
13:11:31.509 [Hungry-Philosopher-1; Meals=3]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:31.511 [Hungry-Philosopher-5; Meals=2]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:31.514 [Hungry-Philosopher-3; Meals=2]: Waiting for a nice seat...
13:11:31.537 [Hungry-Philosopher-1; Meals=3]: Stand up from seat (Chair-2)
13:11:31.537 [Hungry-Philosopher-2; Meals=2]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:31.539 [Hungry-Philosopher-5; Meals=3]: Eating for 1 ms
13:11:31.548 [Hungry-Philosopher-4; Meals=2]: Waiting for a nice seat...
13:11:31.552 [Hungry-Philosopher-2; Meals=3]: Eating for 1 ms
13:11:31.552 [Hungry-Philosopher-3; Meals=2]: Found a nice seat (Chair-1)
13:11:31.573 [Hungry-Philosopher-1; Meals=3]: Mediating for 5 ms
13:11:31.576 [Hungry-Philosopher-4; Meals=2]: Found a nice seat (Chair-4)
13:11:31.579 [Hungry-Philosopher-5; Meals=3]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:31.588 [Hungry-Philosopher-3; Meals=2]: Waiting for 2 forks...
13:11:31.589 [Hungry-Philosopher-2; Meals=3]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:31.596 [Hungry-Philosopher-4; Meals=2]: Waiting for 2 forks...
13:11:31.600 [Hungry-Philosopher-5; Meals=3]: Stand up from seat (Chair-5)
13:11:31.602 [Hungry-Philosopher-1; Meals=3]: Sleeping for 10 ms
13:11:31.603 [Hungry-Philosopher-3; Meals=2]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:31.611 [Hungry-Philosopher-2; Meals=3]: Stand up from seat (Chair-3)
13:11:31.612 [Hungry-Philosopher-4; Meals=2]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:31.612 [Hungry-Philosopher-5; Meals=3]: Mediating for 5 ms
13:11:31.621 [Hungry-Philosopher-3; Meals=3]: Eating for 1 ms
13:11:31.621 [Hungry-Philosopher-4; Meals=3]: Eating for 1 ms
13:11:31.623 [Hungry-Philosopher-1; Meals=3]: Waiting for a nice seat...
13:11:31.630 [Hungry-Philosopher-2; Meals=3]: Mediating for 5 ms
13:11:31.633 [Hungry-Philosopher-4; Meals=3]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:31.634 [Hungry-Philosopher-3; Meals=3]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:31.641 [Hungry-Philosopher-1; Meals=3]: Found a nice seat (Chair-2)
13:11:31.643 [Hungry-Philosopher-4; Meals=3]: Stand up from seat (Chair-4)
13:11:31.649 [Hungry-Philosopher-5; Meals=3]: Sleeping for 10 ms
13:11:31.650 [Hungry-Philosopher-2; Meals=3]: Sleeping for 10 ms
13:11:31.653 [Hungry-Philosopher-3; Meals=3]: Stand up from seat (Chair-1)
13:11:31.655 [Hungry-Philosopher-4; Meals=3]: Mediating for 5 ms
13:11:31.664 [Hungry-Philosopher-1; Meals=3]: Waiting for 2 forks...
13:11:31.668 [Hungry-Philosopher-3; Meals=3]: Mediating for 5 ms
13:11:31.678 [Hungry-Philosopher-1; Meals=3]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:31.683 [Hungry-Philosopher-4; Meals=3]: Sleeping for 10 ms
13:11:31.688 [Hungry-Philosopher-1; Meals=4]: Eating for 1 ms
13:11:31.688 [Hungry-Philosopher-3; Meals=3]: Sleeping for 10 ms
13:11:31.690 [Hungry-Philosopher-5; Meals=3]: Waiting for a nice seat...
13:11:31.691 [Hungry-Philosopher-2; Meals=3]: Waiting for a nice seat...
13:11:31.698 [Hungry-Philosopher-1; Meals=4]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:31.702 [Hungry-Philosopher-4; Meals=3]: Waiting for a nice seat...
13:11:31.707 [Hungry-Philosopher-5; Meals=3]: Found a nice seat (Chair-5)
13:11:31.708 [Hungry-Philosopher-2; Meals=3]: Found a nice seat (Chair-3)
13:11:31.714 [Hungry-Philosopher-1; Meals=4]: Stand up from seat (Chair-2)
13:11:31.715 [Hungry-Philosopher-4; Meals=3]: Found a nice seat (Chair-4)
13:11:31.717 [Hungry-Philosopher-2; Meals=3]: Waiting for 2 forks...
13:11:31.718 [Hungry-Philosopher-5; Meals=3]: Waiting for 2 forks...
13:11:31.723 [Hungry-Philosopher-3; Meals=3]: Waiting for a nice seat...
13:11:31.729 [Hungry-Philosopher-2; Meals=3]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:31.731 [Hungry-Philosopher-1; Meals=4]: Mediating for 5 ms
13:11:31.732 [Hungry-Philosopher-4; Meals=3]: Waiting for 2 forks...
13:11:31.733 [Hungry-Philosopher-5; Meals=3]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:31.739 [Hungry-Philosopher-2; Meals=4]: Eating for 1 ms
13:11:31.742 [Hungry-Philosopher-3; Meals=3]: Found a nice seat (Chair-1)
13:11:31.751 [Hungry-Philosopher-5; Meals=4]: Eating for 1 ms
13:11:31.752 [Hungry-Philosopher-2; Meals=4]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:31.755 [Hungry-Philosopher-3; Meals=3]: Waiting for 2 forks...
13:11:31.760 [Hungry-Philosopher-1; Meals=4]: Waiting for a nice seat...
13:11:31.769 [Hungry-Philosopher-2; Meals=4]: Stand up from seat (Chair-3)
13:11:31.771 [Hungry-Philosopher-5; Meals=4]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:31.772 [Hungry-Philosopher-1; Meals=4]: Found a nice seat (Chair-2)
13:11:31.782 [Hungry-Philosopher-2; Meals=4]: Mediating for 5 ms
13:11:31.788 [Hungry-Philosopher-3; Meals=3]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:31.788 [Hungry-Philosopher-4; Meals=3]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:31.788 [Hungry-Philosopher-5; Meals=4]: Stand up from seat (Chair-5)
13:11:31.790 [Hungry-Philosopher-1; Meals=4]: Waiting for 2 forks...
13:11:31.800 [Hungry-Philosopher-4; Meals=4]: Eating for 1 ms
13:11:31.801 [Hungry-Philosopher-3; Meals=4]: Eating for 1 ms
13:11:31.802 [Hungry-Philosopher-5; Meals=4]: Mediating for 5 ms
13:11:31.805 [Hungry-Philosopher-2; Meals=4]: Waiting for a nice seat...
13:11:31.815 [Hungry-Philosopher-2; Meals=4]: Found a nice seat (Chair-3)
13:11:31.815 [Hungry-Philosopher-3; Meals=4]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:31.815 [Hungry-Philosopher-4; Meals=4]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:31.823 [Hungry-Philosopher-5; Meals=4]: Waiting for a nice seat...
13:11:31.826 [Hungry-Philosopher-2; Meals=4]: Waiting for 2 forks...
13:11:31.829 [Hungry-Philosopher-3; Meals=4]: Stand up from seat (Chair-1)
13:11:31.829 [Hungry-Philosopher-4; Meals=4]: Stand up from seat (Chair-4)
13:11:31.830 [Hungry-Philosopher-1; Meals=4]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:31.840 [Hungry-Philosopher-3; Meals=4]: Mediating for 5 ms
13:11:31.844 [Hungry-Philosopher-5; Meals=4]: Found a nice seat (Chair-5)
13:11:31.852 [Hungry-Philosopher-1; Meals=5]: Eating for 1 ms
13:11:31.852 [Hungry-Philosopher-4; Meals=4]: Mediating for 5 ms
13:11:31.856 [Hungry-Philosopher-3; Meals=4]: Waiting for a nice seat...
13:11:31.862 [Hungry-Philosopher-5; Meals=4]: Waiting for 2 forks...
13:11:31.863 [Hungry-Philosopher-1; Meals=5]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:31.867 [Hungry-Philosopher-3; Meals=4]: Found a nice seat (Chair-1)
13:11:31.868 [Hungry-Philosopher-4; Meals=4]: Waiting for a nice seat...
13:11:31.876 [Hungry-Philosopher-5; Meals=4]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:31.878 [Hungry-Philosopher-2; Meals=4]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:31.880 [Hungry-Philosopher-1; Meals=5]: Stand up from seat (Chair-2)
13:11:31.881 [Hungry-Philosopher-3; Meals=4]: Waiting for 2 forks...
13:11:31.887 [Hungry-Philosopher-4; Meals=4]: Found a nice seat (Chair-4)
13:11:31.891 [Hungry-Philosopher-2; Meals=5]: Eating for 1 ms
13:11:31.891 [Hungry-Philosopher-5; Meals=5]: Eating for 1 ms
13:11:31.897 [Hungry-Philosopher-1; Meals=5]: Mediating for 5 ms
13:11:31.901 [Hungry-Philosopher-5; Meals=5]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:31.909 [Hungry-Philosopher-4; Meals=4]: Waiting for 2 forks...
13:11:31.910 [Hungry-Philosopher-5; Meals=5]: Stand up from seat (Chair-5)
13:11:31.911 [Hungry-Philosopher-3; Meals=4]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:31.920 [Hungry-Philosopher-2; Meals=5]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:31.921 [Hungry-Philosopher-1; Meals=5]: Waiting for a nice seat...
13:11:31.923 [Hungry-Philosopher-5; Meals=5]: Mediating for 5 ms
13:11:31.931 [Hungry-Philosopher-3; Meals=5]: Eating for 1 ms
13:11:31.942 [Hungry-Philosopher-1; Meals=5]: Found a nice seat (Chair-2)
13:11:31.942 [Hungry-Philosopher-2; Meals=5]: Stand up from seat (Chair-3)
13:11:31.942 [Hungry-Philosopher-4; Meals=4]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:31.944 [Hungry-Philosopher-3; Meals=5]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:31.949 [Hungry-Philosopher-5; Meals=5]: Waiting for a nice seat...
13:11:31.952 [Hungry-Philosopher-2; Meals=5]: Mediating for 5 ms
13:11:31.960 [Hungry-Philosopher-1; Meals=5]: Waiting for 2 forks...
13:11:31.962 [Hungry-Philosopher-4; Meals=5]: Eating for 1 ms
13:11:31.965 [Hungry-Philosopher-3; Meals=5]: Stand up from seat (Chair-1)
13:11:31.968 [Hungry-Philosopher-5; Meals=5]: Found a nice seat (Chair-5)
13:11:31.974 [Hungry-Philosopher-1; Meals=5]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:31.976 [Hungry-Philosopher-4; Meals=5]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:31.977 [Hungry-Philosopher-3; Meals=5]: Mediating for 5 ms
13:11:31.978 [Hungry-Philosopher-2; Meals=5]: Waiting for a nice seat...
13:11:31.986 [Hungry-Philosopher-5; Meals=5]: Waiting for 2 forks...
13:11:31.989 [Hungry-Philosopher-1; Meals=6]: Eating for 1 ms
13:11:31.990 [Hungry-Philosopher-4; Meals=5]: Stand up from seat (Chair-4)
13:11:32.000 [Hungry-Philosopher-2; Meals=5]: Found a nice seat (Chair-3)
13:11:32.000 [Hungry-Philosopher-3; Meals=5]: Waiting for a nice seat...
13:11:32.005 [Hungry-Philosopher-1; Meals=6]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:32.008 [Hungry-Philosopher-5; Meals=5]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:32.010 [Hungry-Philosopher-4; Meals=5]: Mediating for 5 ms
13:11:32.017 [Hungry-Philosopher-2; Meals=5]: Waiting for 2 forks...
13:11:32.022 [Hungry-Philosopher-3; Meals=5]: Found a nice seat (Chair-1)
13:11:32.023 [Hungry-Philosopher-1; Meals=6]: Stand up from seat (Chair-2)
13:11:32.033 [Hungry-Philosopher-5; Meals=6]: Eating for 1 ms
13:11:32.034 [Hungry-Philosopher-2; Meals=5]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:32.043 [Hungry-Philosopher-4; Meals=5]: Waiting for a nice seat...
13:11:32.044 [Hungry-Philosopher-3; Meals=5]: Waiting for 2 forks...
13:11:32.048 [Hungry-Philosopher-1; Meals=6]: Mediating for 5 ms
13:11:32.056 [Hungry-Philosopher-2; Meals=6]: Eating for 1 ms
13:11:32.058 [Hungry-Philosopher-5; Meals=6]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:32.060 [Hungry-Philosopher-4; Meals=5]: Found a nice seat (Chair-4)
13:11:32.069 [Hungry-Philosopher-2; Meals=6]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:32.080 [Hungry-Philosopher-1; Meals=6]: Sleeping for 10 ms
13:11:32.080 [Hungry-Philosopher-3; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:32.080 [Hungry-Philosopher-5; Meals=6]: Stand up from seat (Chair-5)
13:11:32.081 [Hungry-Philosopher-2; Meals=6]: Stand up from seat (Chair-3)
13:11:32.082 [Hungry-Philosopher-4; Meals=5]: Waiting for 2 forks...
13:11:32.092 [Hungry-Philosopher-3; Meals=6]: Eating for 1 ms
13:11:32.110 [Hungry-Philosopher-5; Meals=6]: Mediating for 5 ms
13:11:32.112 [Hungry-Philosopher-4; Meals=5]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:32.115 [Hungry-Philosopher-2; Meals=6]: Mediating for 5 ms
13:11:32.121 [Hungry-Philosopher-1; Meals=6]: Waiting for a nice seat...
13:11:32.123 [Hungry-Philosopher-4; Meals=6]: Eating for 1 ms
13:11:32.125 [Hungry-Philosopher-3; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:32.131 [Hungry-Philosopher-5; Meals=6]: Sleeping for 10 ms
13:11:32.135 [Hungry-Philosopher-1; Meals=6]: Found a nice seat (Chair-2)
13:11:32.136 [Hungry-Philosopher-3; Meals=6]: Stand up from seat (Chair-1)
13:11:32.138 [Hungry-Philosopher-4; Meals=6]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:32.145 [Hungry-Philosopher-2; Meals=6]: Sleeping for 10 ms
13:11:32.150 [Hungry-Philosopher-1; Meals=6]: Waiting for 2 forks...
13:11:32.150 [Hungry-Philosopher-3; Meals=6]: Mediating for 5 ms
13:11:32.156 [Hungry-Philosopher-4; Meals=6]: Stand up from seat (Chair-4)
13:11:32.162 [Hungry-Philosopher-1; Meals=6]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:32.163 [Hungry-Philosopher-5; Meals=6]: Waiting for a nice seat...
13:11:32.167 [Hungry-Philosopher-3; Meals=6]: Sleeping for 10 ms
13:11:32.173 [Hungry-Philosopher-2; Meals=6]: Waiting for a nice seat...
13:11:32.177 [Hungry-Philosopher-4; Meals=6]: Mediating for 5 ms
13:11:32.182 [Hungry-Philosopher-1; Meals=7]: Eating for 1 ms
13:11:32.184 [Hungry-Philosopher-5; Meals=6]: Found a nice seat (Chair-5)
13:11:32.189 [Hungry-Philosopher-2; Meals=6]: Found a nice seat (Chair-3)
13:11:32.194 [Hungry-Philosopher-1; Meals=7]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:32.194 [Hungry-Philosopher-5; Meals=6]: Waiting for 2 forks...
13:11:32.195 [Hungry-Philosopher-3; Meals=6]: Waiting for a nice seat...
13:11:32.200 [Hungry-Philosopher-4; Meals=6]: Sleeping for 10 ms
13:11:32.225 [Hungry-Philosopher-3; Meals=6]: Found a nice seat (Chair-1)
13:11:32.226 [Hungry-Philosopher-1; Meals=7]: Stand up from seat (Chair-2)
13:11:32.226 [Hungry-Philosopher-2; Meals=6]: Waiting for 2 forks...
13:11:32.235 [Hungry-Philosopher-5; Meals=6]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:32.243 [Hungry-Philosopher-1; Meals=7]: Mediating for 5 ms
13:11:32.244 [Hungry-Philosopher-3; Meals=6]: Waiting for 2 forks...
13:11:32.253 [Hungry-Philosopher-2; Meals=6]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:32.254 [Hungry-Philosopher-5; Meals=7]: Eating for 1 ms
13:11:32.256 [Hungry-Philosopher-4; Meals=6]: Waiting for a nice seat...
13:11:32.259 [Hungry-Philosopher-1; Meals=7]: Waiting for a nice seat...
13:11:32.267 [Hungry-Philosopher-5; Meals=7]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:32.281 [Hungry-Philosopher-2; Meals=7]: Eating for 1 ms
13:11:32.294 [Hungry-Philosopher-4; Meals=6]: Found a nice seat (Chair-4)
13:11:32.305 [Hungry-Philosopher-1; Meals=7]: Found a nice seat (Chair-2)
13:11:32.314 [Hungry-Philosopher-3; Meals=6]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:32.314 [Hungry-Philosopher-5; Meals=7]: Stand up from seat (Chair-5)
13:11:32.315 [Hungry-Philosopher-4; Meals=6]: Waiting for 2 forks...
13:11:32.325 [Hungry-Philosopher-5; Meals=7]: Mediating for 5 ms
13:11:32.326 [Hungry-Philosopher-1; Meals=7]: Waiting for 2 forks...
13:11:32.327 [Hungry-Philosopher-2; Meals=7]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:32.355 [Hungry-Philosopher-3; Meals=7]: Eating for 1 ms
13:11:32.361 [Hungry-Philosopher-2; Meals=7]: Stand up from seat (Chair-3)
13:11:32.361 [Hungry-Philosopher-4; Meals=6]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:32.362 [Hungry-Philosopher-5; Meals=7]: Waiting for a nice seat...
13:11:32.372 [Hungry-Philosopher-3; Meals=7]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:32.373 [Hungry-Philosopher-2; Meals=7]: Mediating for 5 ms
13:11:32.384 [Hungry-Philosopher-4; Meals=7]: Eating for 1 ms
13:11:32.385 [Hungry-Philosopher-1; Meals=7]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:32.385 [Hungry-Philosopher-3; Meals=7]: Stand up from seat (Chair-1)
13:11:32.388 [Hungry-Philosopher-5; Meals=7]: Found a nice seat (Chair-5)
13:11:32.395 [Hungry-Philosopher-3; Meals=7]: Mediating for 5 ms
