12:51:22.096 [Philosopher-2; Meals=0]: I'm alive!
12:51:22.328 [Philosopher-37; Meals=0]: Waiting for a nice seat...
12:51:22.330 [Philosopher-12; Meals=0]: Waiting for a nice seat...
12:51:22.330 [Philosopher-15; Meals=0]: Waiting for a nice seat...
12:51:22.332 [Philosopher-33; Meals=0]: Waiting for a nice seat...
12:51:22.337 [Philosopher-3; Meals=0]: Waiting for a nice seat...
12:51:22.339 [Philosopher-24; Meals=0]: Waiting for a nice seat...
12:51:22.344 [Philosopher-47; Meals=0]: Waiting for a nice seat...
12:51:22.346 [Philosopher-10; Meals=0]: Waiting for a nice seat...
12:51:22.349 [Philosopher-31; Meals=0]: Waiting for a nice seat...
12:51:22.353 [Philosopher-32; Meals=0]: Waiting for a nice seat...
12:51:22.354 [Philosopher-22; Meals=0]: Waiting for a nice seat...
12:51:22.358 [Philosopher-6; Meals=0]: Waiting for a nice seat...
12:51:22.371 [Philosopher-35; Meals=0]: Waiting for a nice seat...
12:51:22.371 [Philosopher-4; Meals=0]: Waiting for a nice seat...
12:51:22.371 [Philosopher-44; Meals=0]: Waiting for a nice seat...
12:51:22.371 [Philosopher-46; Meals=0]: Waiting for a nice seat...
12:51:22.372 [Philosopher-1; Meals=0]: Waiting for a nice seat...
12:51:22.374 [Philosopher-41; Meals=0]: Waiting for a nice seat...
12:51:22.380 [Philosopher-19; Meals=0]: Waiting for a nice seat...
12:51:22.380 [Philosopher-20; Meals=0]: Waiting for a nice seat...
12:51:22.385 [Philosopher-27; Meals=0]: Waiting for a nice seat...
12:51:22.390 [Philosopher-2; Meals=0]: Waiting for a nice seat...
12:51:22.397 [Philosopher-14; Meals=0]: Waiting for a nice seat...
12:51:22.405 [Philosopher-18; Meals=0]: Waiting for a nice seat...
12:51:22.405 [Philosopher-39; Meals=0]: Waiting for a nice seat...
12:51:22.408 [Philosopher-21; Meals=0]: Waiting for a nice seat...
12:51:22.408 [Philosopher-38; Meals=0]: Waiting for a nice seat...
12:51:22.410 [Philosopher-34; Meals=0]: Waiting for a nice seat...
12:51:22.411 [Philosopher-36; Meals=0]: Waiting for a nice seat...
12:51:22.414 [Philosopher-11; Meals=0]: Waiting for a nice seat...
12:51:22.420 [Philosopher-25; Meals=0]: Waiting for a nice seat...
12:51:22.421 [Philosopher-17; Meals=0]: Waiting for a nice seat...
12:51:22.425 [Philosopher-48; Meals=0]: Waiting for a nice seat...
12:51:22.429 [Philosopher-8; Meals=0]: Waiting for a nice seat...
12:51:22.447 [Philosopher-23; Meals=0]: Found a nice seat (Chair-1)
12:51:22.449 [Philosopher-49; Meals=0]: Found a nice seat (Chair-2)
12:51:22.452 [Philosopher-43; Meals=0]: Found a nice seat (Chair-3)
12:51:22.453 [Philosopher-7; Meals=0]: Found a nice seat (Chair-4)
12:51:22.454 [Philosopher-50; Meals=0]: Found a nice seat (Chair-5)
12:51:22.455 [Philosopher-30; Meals=0]: Found a nice seat (Chair-6)
12:51:22.456 [Philosopher-42; Meals=0]: Found a nice seat (Chair-7)
12:51:22.459 [Philosopher-40; Meals=0]: Found a nice seat (Chair-8)
12:51:22.462 [Philosopher-9; Meals=0]: Found a nice seat (Chair-9)
12:51:22.469 [Philosopher-45; Meals=0]: Found a nice seat (Chair-10)
12:51:24.489 [Philosopher-49; Meals=0]: Waiting for 2 forks...
12:51:24.614 [Philosopher-23; Meals=0]: Waiting for 2 forks...
12:51:24.730 [Philosopher-42; Meals=0]: Waiting for 2 forks...
12:51:24.852 [Philosopher-50; Meals=0]: Waiting for 2 forks...
12:51:24.896 [Philosopher-43; Meals=0]: Waiting for 2 forks...
12:51:24.969 [Philosopher-9; Meals=0]: Waiting for 2 forks...
12:51:24.970 [Philosopher-30; Meals=0]: Waiting for 2 forks...
12:51:24.970 [Philosopher-7; Meals=0]: Waiting for 2 forks...
12:51:25.095 [Philosopher-45; Meals=0]: Waiting for 2 forks...
12:51:25.119 [Philosopher-40; Meals=0]: Waiting for 2 forks...
12:51:25.207 [Philosopher-49; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:51:25.446 [Philosopher-42; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:51:25.446 [Philosopher-50; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:25.448 [Philosopher-23; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:25.550 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:25.552 [Philosopher-43; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:25.646 [Philosopher-30; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:25.646 [Philosopher-45; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:25.647 [Philosopher-7; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:51:25.755 [Philosopher-49; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:51:25.803 [Philosopher-40; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:25.871 [Philosopher-50; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:51:25.871 [Philosopher-9; Meals=0]: Release my fork (Fork-9 from Chair-9)
12:51:25.876 [Philosopher-42; Meals=0]: Release my fork (Fork-7 from Chair-7)
12:51:25.985 [Philosopher-23; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:51:25.986 [Philosopher-43; Meals=0]: Release my fork (Fork-3 from Chair-3)
12:51:26.035 [Philosopher-30; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:51:26.035 [Philosopher-45; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:26.054 [Philosopher-7; Meals=0]: Release my fork (Fork-4 from Chair-4)
12:51:26.180 [Philosopher-40; Meals=0]: Release my fork (Fork-8 from Chair-8)
12:51:27.947 [Philosopher-9; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:28.179 [Philosopher-9; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:28.180 [Philosopher-23; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:28.436 [Philosopher-43; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:28.578 [Philosopher-9; Meals=0]: Found 2 forks! :D
12:51:28.579 [Philosopher-23; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:28.712 [Philosopher-43; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:51:28.980 [Philosopher-23; Meals=0]: Found 2 forks! :D
12:51:29.089 [Philosopher-43; Meals=0]: Found 2 forks! :D
12:51:29.089 [Philosopher-9; Meals=1]: Eating for 1 ms
12:51:29.201 [Philosopher-23; Meals=1]: Eating for 1 ms
12:51:29.336 [Philosopher-9; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:51:29.464 [Philosopher-23; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:51:29.465 [Philosopher-43; Meals=1]: Eating for 1 ms
12:51:29.683 [Philosopher-23; Meals=1]: Release my fork (Fork-10 from Chair-10)
12:51:29.709 [Philosopher-43; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:51:29.764 [Philosopher-9; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:51:29.765 [Philosopher-49; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:29.797 [Philosopher-30; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:30.026 [Philosopher-43; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:51:30.136 [Philosopher-23; Meals=1]: Stand up from seat (Chair-1)
12:51:30.152 [Philosopher-50; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:30.175 [Philosopher-43; Meals=1]: Stand up from seat (Chair-3)
12:51:30.188 [Philosopher-9; Meals=1]: Stand up from seat (Chair-9)
12:51:30.289 [Philosopher-30; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:51:30.387 [Philosopher-49; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:51:30.403 [Philosopher-7; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:51:30.413 [Philosopher-23; Meals=1]: Mediating for 5 ms
12:51:30.413 [Philosopher-34; Meals=0]: Found a nice seat (Chair-1)
12:51:30.742 [Philosopher-41; Meals=0]: Found a nice seat (Chair-3)
12:51:30.742 [Philosopher-43; Meals=1]: Mediating for 5 ms
12:51:30.743 [Philosopher-17; Meals=0]: Found a nice seat (Chair-9)
12:51:30.743 [Philosopher-42; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:51:30.750 [Philosopher-40; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:30.753 [Philosopher-50; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:51:30.773 [Philosopher-9; Meals=1]: Mediating for 5 ms
12:51:31.126 [Philosopher-23; Meals=1]: Waiting for a nice seat...
12:51:31.321 [Philosopher-34; Meals=0]: Waiting for 2 forks...
12:51:31.322 [Philosopher-49; Meals=0]: Found 2 forks! :D
12:51:31.323 [Philosopher-7; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:31.538 [Philosopher-43; Meals=1]: Waiting for a nice seat...
12:51:31.590 [Philosopher-42; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:31.614 [Philosopher-41; Meals=0]: Waiting for 2 forks...
12:51:31.770 [Philosopher-40; Meals=0]: Release my fork (Fork-8 from Chair-8)
12:51:31.846 [Philosopher-9; Meals=1]: Waiting for a nice seat...
12:51:31.954 [Philosopher-17; Meals=0]: Waiting for 2 forks...
12:51:32.246 [Philosopher-30; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:32.247 [Philosopher-7; Meals=0]: Found 2 forks! :D
12:51:32.412 [Philosopher-34; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:32.606 [Philosopher-49; Meals=1]: Eating for 1 ms
12:51:32.616 [Philosopher-42; Meals=0]: Found 2 forks! :D
12:51:32.805 [Philosopher-17; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:32.962 [Philosopher-30; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:51:32.964 [Philosopher-7; Meals=1]: Eating for 1 ms
12:51:33.084 [Philosopher-34; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:33.352 [Philosopher-42; Meals=1]: Eating for 1 ms
12:51:33.353 [Philosopher-49; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:51:33.401 [Philosopher-7; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:51:33.428 [Philosopher-50; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:33.441 [Philosopher-17; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:33.646 [Philosopher-17; Meals=0]: Found 2 forks! :D
12:51:33.647 [Philosopher-49; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:51:33.649 [Philosopher-42; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:51:33.831 [Philosopher-7; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:51:34.117 [Philosopher-17; Meals=1]: Eating for 1 ms
12:51:34.117 [Philosopher-50; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:51:34.351 [Philosopher-49; Meals=1]: Stand up from seat (Chair-2)
12:51:34.488 [Philosopher-7; Meals=1]: Stand up from seat (Chair-4)
12:51:34.490 [Philosopher-42; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:51:34.492 [Philosopher-17; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:51:34.606 [Philosopher-36; Meals=0]: Found a nice seat (Chair-2)
12:51:34.606 [Philosopher-49; Meals=1]: Mediating for 5 ms
12:51:34.607 [Philosopher-50; Meals=0]: Found 2 forks! :D
12:51:34.843 [Philosopher-7; Meals=1]: Mediating for 5 ms
12:51:34.848 [Philosopher-29; Meals=0]: Found a nice seat (Chair-4)
12:51:35.050 [Philosopher-42; Meals=1]: Stand up from seat (Chair-7)
12:51:35.081 [Philosopher-17; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:51:35.081 [Philosopher-30; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:35.081 [Philosopher-36; Meals=0]: Waiting for 2 forks...
12:51:35.081 [Philosopher-50; Meals=1]: Eating for 1 ms
12:51:35.116 [Philosopher-49; Meals=1]: Waiting for a nice seat...
12:51:35.370 [Philosopher-7; Meals=1]: Waiting for a nice seat...
12:51:35.467 [Philosopher-17; Meals=1]: Stand up from seat (Chair-9)
12:51:35.467 [Philosopher-29; Meals=0]: Waiting for 2 forks...
12:51:35.467 [Philosopher-39; Meals=0]: Found a nice seat (Chair-7)
12:51:35.467 [Philosopher-42; Meals=1]: Mediating for 5 ms
12:51:35.468 [Philosopher-50; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:51:35.536 [Philosopher-36; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:51:35.582 [Philosopher-30; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:51:35.835 [Philosopher-17; Meals=1]: Mediating for 5 ms
12:51:35.835 [Philosopher-46; Meals=0]: Found a nice seat (Chair-9)
12:51:35.854 [Philosopher-42; Meals=1]: Waiting for a nice seat...
12:51:35.883 [Philosopher-29; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:35.950 [Philosopher-39; Meals=0]: Waiting for 2 forks...
12:51:35.990 [Philosopher-50; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:51:36.096 [Philosopher-36; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:36.347 [Philosopher-40; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:36.432 [Philosopher-46; Meals=0]: Waiting for 2 forks...
12:51:36.436 [Philosopher-17; Meals=1]: Waiting for a nice seat...
12:51:36.654 [Philosopher-29; Meals=0]: Release my fork (Fork-3 from Chair-3)
12:51:36.804 [Philosopher-36; Meals=0]: Found 2 forks! :D
12:51:36.805 [Philosopher-50; Meals=1]: Stand up from seat (Chair-5)
12:51:36.806 [Philosopher-39; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:51:37.016 [Philosopher-40; Meals=0]: Release my fork (Fork-8 from Chair-8)
12:51:37.016 [Philosopher-46; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:37.172 [Philosopher-36; Meals=1]: Eating for 1 ms
12:51:37.173 [Philosopher-39; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:37.324 [Philosopher-50; Meals=1]: Mediating for 5 ms
12:51:37.328 [Philosopher-37; Meals=0]: Found a nice seat (Chair-5)
12:51:37.460 [Philosopher-30; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:37.460 [Philosopher-36; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:51:37.460 [Philosopher-46; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:37.606 [Philosopher-39; Meals=0]: Found 2 forks! :D
12:51:37.697 [Philosopher-50; Meals=1]: Waiting for a nice seat...
12:51:37.815 [Philosopher-37; Meals=0]: Waiting for 2 forks...
12:51:37.834 [Philosopher-46; Meals=0]: Found 2 forks! :D
12:51:37.970 [Philosopher-36; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:51:37.989 [Philosopher-34; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:37.995 [Philosopher-30; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:51:38.166 [Philosopher-39; Meals=1]: Eating for 1 ms
12:51:38.483 [Philosopher-46; Meals=1]: Eating for 1 ms
12:51:38.484 [Philosopher-36; Meals=1]: Stand up from seat (Chair-2)
12:51:38.513 [Philosopher-37; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:51:38.635 [Philosopher-45; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:38.659 [Philosopher-34; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:51:38.778 [Philosopher-17; Meals=1]: Found a nice seat (Chair-2)
12:51:38.778 [Philosopher-36; Meals=1]: Mediating for 5 ms
12:51:38.811 [Philosopher-39; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:51:38.816 [Philosopher-46; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:51:38.932 [Philosopher-37; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:39.046 [Philosopher-36; Meals=1]: Waiting for a nice seat...
12:51:39.171 [Philosopher-45; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:39.301 [Philosopher-17; Meals=1]: Waiting for 2 forks...
12:51:39.357 [Philosopher-39; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:51:39.359 [Philosopher-46; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:51:39.471 [Philosopher-37; Meals=0]: Found 2 forks! :D
12:51:39.838 [Philosopher-17; Meals=1]: Picked up fork (Fork-2 from Chair-2)
12:51:39.838 [Philosopher-29; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:39.871 [Philosopher-37; Meals=1]: Eating for 1 ms
12:51:39.871 [Philosopher-39; Meals=1]: Stand up from seat (Chair-7)
12:51:39.871 [Philosopher-46; Meals=1]: Stand up from seat (Chair-9)
12:51:39.872 [Philosopher-17; Meals=1]: Picked up fork (Fork-1 from Chair-1)
12:51:40.030 [Philosopher-30; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:40.135 [Philosopher-21; Meals=0]: Found a nice seat (Chair-7)
12:51:40.135 [Philosopher-39; Meals=1]: Mediating for 5 ms
12:51:40.168 [Philosopher-29; Meals=0]: Release my fork (Fork-3 from Chair-3)
12:51:40.262 [Philosopher-6; Meals=0]: Found a nice seat (Chair-9)
12:51:40.447 [Philosopher-37; Meals=1]: Release my fork (Fork-5 from Chair-5)
12:51:40.447 [Philosopher-46; Meals=1]: Mediating for 5 ms
12:51:40.517 [Philosopher-17; Meals=1]: Found 2 forks! :D
12:51:40.517 [Philosopher-30; Meals=0]: Release my fork (Fork-6 from Chair-6)
12:51:40.548 [Philosopher-39; Meals=1]: Waiting for a nice seat...
12:51:40.634 [Philosopher-21; Meals=0]: Waiting for 2 forks...
12:51:40.666 [Philosopher-34; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:40.750 [Philosopher-6; Meals=0]: Waiting for 2 forks...
12:51:41.011 [Philosopher-37; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:51:41.011 [Philosopher-46; Meals=1]: Waiting for a nice seat...
12:51:41.038 [Philosopher-17; Meals=2]: Eating for 1 ms
12:51:41.173 [Philosopher-34; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:41.448 [Philosopher-21; Meals=0]: Picked up fork (Fork-7 from Chair-7)
12:51:41.513 [Philosopher-6; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:41.515 [Philosopher-17; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:51:41.533 [Philosopher-37; Meals=1]: Stand up from seat (Chair-5)
12:51:41.587 [Philosopher-21; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:41.694 [Philosopher-17; Meals=2]: Release my fork (Fork-2 from Chair-2)
12:51:41.891 [Philosopher-37; Meals=1]: Mediating for 5 ms
12:51:41.891 [Philosopher-6; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:41.892 [Philosopher-32; Meals=0]: Found a nice seat (Chair-5)
12:51:41.897 [Philosopher-29; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:51:41.913 [Philosopher-21; Meals=0]: Found 2 forks! :D
12:51:41.917 [Philosopher-17; Meals=2]: Stand up from seat (Chair-2)
12:51:42.285 [Philosopher-6; Meals=0]: Found 2 forks! :D
12:51:42.483 [Philosopher-21; Meals=1]: Eating for 1 ms
12:51:42.549 [Philosopher-32; Meals=0]: Waiting for 2 forks...
12:51:42.552 [Philosopher-45; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:42.554 [Philosopher-17; Meals=2]: Mediating for 5 ms
12:51:42.554 [Philosopher-38; Meals=0]: Found a nice seat (Chair-2)
12:51:42.560 [Philosopher-37; Meals=1]: Waiting for a nice seat...
12:51:42.685 [Philosopher-29; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:51:42.686 [Philosopher-21; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:51:42.782 [Philosopher-32; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:42.816 [Philosopher-6; Meals=1]: Eating for 1 ms
12:51:42.912 [Philosopher-45; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:42.963 [Philosopher-17; Meals=2]: Waiting for a nice seat...
12:51:43.041 [Philosopher-29; Meals=0]: Found 2 forks! :D
12:51:43.048 [Philosopher-21; Meals=1]: Release my fork (Fork-6 from Chair-6)
12:51:43.157 [Philosopher-6; Meals=1]: Release my fork (Fork-8 from Chair-8)
12:51:43.184 [Philosopher-34; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:51:43.185 [Philosopher-38; Meals=0]: Waiting for 2 forks...
12:51:43.290 [Philosopher-32; Meals=0]: Release my fork (Fork-5 from Chair-5)
12:51:43.299 [Philosopher-45; Meals=0]: Picked up fork (Fork-10 from Chair-10)
12:51:43.442 [Philosopher-21; Meals=1]: Stand up from seat (Chair-7)
12:51:43.716 [Philosopher-29; Meals=1]: Eating for 1 ms
12:51:43.780 [Philosopher-6; Meals=1]: Release my fork (Fork-9 from Chair-9)
12:51:43.781 [Philosopher-21; Meals=1]: Mediating for 5 ms
12:51:43.781 [Philosopher-34; Meals=0]: Release my fork (Fork-1 from Chair-1)
12:51:43.782 [Philosopher-38; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:51:43.783 [Philosopher-43; Meals=1]: Found a nice seat (Chair-7)
12:51:44.175 [Philosopher-45; Meals=0]: Release my fork (Fork-10 from Chair-10)
12:51:44.195 [Philosopher-38; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:51:44.201 [Philosopher-30; Meals=0]: Picked up fork (Fork-6 from Chair-6)
12:51:44.201 [Philosopher-43; Meals=1]: Waiting for 2 forks...
12:51:44.201 [Philosopher-6; Meals=1]: Stand up from seat (Chair-9)
12:51:44.206 [Philosopher-21; Meals=1]: Waiting for a nice seat...
12:51:44.207 [Philosopher-29; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:51:44.412 [Philosopher-43; Meals=1]: Picked up fork (Fork-7 from Chair-7)
12:51:44.537 [Philosopher-48; Meals=0]: Found a nice seat (Chair-9)
12:51:44.537 [Philosopher-6; Meals=1]: Mediating for 5 ms
12:51:44.670 [Philosopher-30; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:51:44.806 [Philosopher-29; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:51:44.864 [Philosopher-43; Meals=1]: Release my fork (Fork-7 from Chair-7)
12:51:44.907 [Philosopher-48; Meals=0]: Waiting for 2 forks...
12:51:45.071 [Philosopher-30; Meals=0]: Found 2 forks! :D
12:51:45.105 [Philosopher-6; Meals=1]: Waiting for a nice seat...
12:51:45.174 [Philosopher-29; Meals=1]: Stand up from seat (Chair-4)
12:51:45.196 [Philosopher-48; Meals=0]: Picked up fork (Fork-9 from Chair-9)
12:51:45.427 [Philosopher-30; Meals=1]: Eating for 1 ms
12:51:45.544 [Philosopher-48; Meals=0]: Picked up fork (Fork-8 from Chair-8)
12:51:45.547 [Philosopher-35; Meals=0]: Found a nice seat (Chair-4)
12:51:45.548 [Philosopher-29; Meals=1]: Mediating for 5 ms
12:51:45.706 [Philosopher-43; Meals=1]: Picked up fork (Fork-7 from Chair-7)
12:51:45.724 [Philosopher-41; Meals=0]: Picked up fork (Fork-3 from Chair-3)
