11:54:06.717 [Philosopher-1; Meals=0]: I'm alive!
11:54:07.360 [Philosopher-3; Meals=3]: Mediating for 5 ms
11:54:07.372 [Philosopher-3; Meals=3]: Sleeping for 10 ms
11:54:07.388 [Philosopher-3; Meals=3]: Waiting for a nice seat...
11:54:07.397 [Philosopher-3; Meals=3]: Found a nice seat (Chair-2)
11:54:07.408 [Philosopher-3; Meals=3]: Waiting for 2 forks...
11:54:07.417 [Philosopher-3; Meals=3]: Picked up fork (Fork-2 from Chair-2)
11:54:07.428 [Philosopher-3; Meals=3]: Picked up fork (Fork-2 from Chair-2)
11:54:07.436 [Philosopher-3; Meals=3]: Found 2 forks! :D
11:54:07.444 [Philosopher-3; Meals=4]: Eating for 1 ms
11:54:07.449 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:07.455 [Philosopher-3; Meals=4]: Release my fork (Fork-1 from Chair-1)
11:54:07.458 [Philosopher-2; Meals=0]: Release my fork (Fork-4 from Chair-4)
11:54:07.463 [Philosopher-3; Meals=4]: Release my fork (Fork-2 from Chair-2)
11:54:07.471 [Philosopher-3; Meals=4]: Stand up from seat (Chair-2)
11:54:07.480 [Philosopher-3; Meals=4]: Mediating for 5 ms
11:54:07.495 [Philosopher-3; Meals=4]: Waiting for a nice seat...
11:54:07.504 [Philosopher-3; Meals=4]: Found a nice seat (Chair-2)
11:54:07.505 [Philosopher-4; Meals=1]: Picked up fork (Fork-4 from Chair-4)
11:54:07.514 [Philosopher-3; Meals=4]: Waiting for 2 forks...
11:54:07.514 [Philosopher-4; Meals=1]: Picked up fork (Fork-4 from Chair-4)
11:54:07.523 [Philosopher-3; Meals=4]: Picked up fork (Fork-2 from Chair-2)
11:54:07.523 [Philosopher-4; Meals=1]: Found 2 forks! :D
11:54:07.532 [Philosopher-3; Meals=4]: Picked up fork (Fork-2 from Chair-2)
11:54:07.532 [Philosopher-4; Meals=2]: Eating for 1 ms
11:54:07.540 [Philosopher-3; Meals=4]: Found 2 forks! :D
11:54:07.543 [Philosopher-4; Meals=2]: Release my fork (Fork-3 from Chair-3)
11:54:07.548 [Philosopher-3; Meals=5]: Eating for 1 ms
11:54:07.560 [Philosopher-4; Meals=2]: Release my fork (Fork-4 from Chair-4)
11:54:07.566 [Philosopher-3; Meals=5]: Release my fork (Fork-1 from Chair-1)
11:54:07.573 [Philosopher-4; Meals=2]: Stand up from seat (Chair-4)
11:54:07.583 [Philosopher-3; Meals=5]: Release my fork (Fork-2 from Chair-2)
11:54:07.583 [Philosopher-4; Meals=2]: Mediating for 5 ms
11:54:07.593 [Philosopher-3; Meals=5]: Stand up from seat (Chair-2)
11:54:07.597 [Philosopher-4; Meals=2]: Waiting for a nice seat...
11:54:07.602 [Philosopher-3; Meals=5]: Mediating for 5 ms
11:54:07.605 [Philosopher-4; Meals=2]: Found a nice seat (Chair-2)
11:54:07.613 [Philosopher-4; Meals=2]: Waiting for 2 forks...
11:54:07.617 [Philosopher-3; Meals=5]: Waiting for a nice seat...
11:54:07.623 [Philosopher-4; Meals=2]: Picked up fork (Fork-2 from Chair-2)
11:54:07.626 [Philosopher-3; Meals=5]: Found a nice seat (Chair-4)
11:54:07.634 [Philosopher-4; Meals=2]: Picked up fork (Fork-2 from Chair-2)
11:54:07.636 [Philosopher-3; Meals=5]: Waiting for 2 forks...
11:54:07.647 [Philosopher-3; Meals=5]: Picked up fork (Fork-4 from Chair-4)
11:54:07.647 [Philosopher-4; Meals=2]: Found 2 forks! :D
11:54:07.660 [Philosopher-3; Meals=5]: Picked up fork (Fork-4 from Chair-4)
11:54:07.660 [Philosopher-4; Meals=3]: Eating for 1 ms
11:54:07.670 [Philosopher-3; Meals=5]: Found 2 forks! :D
11:54:07.671 [Philosopher-4; Meals=3]: Release my fork (Fork-1 from Chair-1)
11:54:07.681 [Philosopher-3; Meals=6]: Eating for 1 ms
11:54:07.681 [Philosopher-4; Meals=3]: Release my fork (Fork-2 from Chair-2)
11:54:07.690 [Philosopher-4; Meals=3]: Stand up from seat (Chair-2)
11:54:07.691 [Philosopher-3; Meals=6]: Release my fork (Fork-3 from Chair-3)
11:54:07.700 [Philosopher-3; Meals=6]: Release my fork (Fork-4 from Chair-4)
11:54:07.700 [Philosopher-4; Meals=3]: Mediating for 5 ms
11:54:07.739 [Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:07.748 [Philosopher-3; Meals=6]: Stand up from seat (Chair-4)
11:54:07.771 [Philosopher-4; Meals=3]: Sleeping for 10 ms
11:54:07.774 [Philosopher-3; Meals=6]: Mediating for 5 ms
11:54:07.831 [Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:07.834 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:07.841 [Philosopher-3; Meals=6]: Sleeping for 10 ms
11:54:07.848 [Philosopher-1; Meals=1]: Found 2 forks! :D
11:54:07.848 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:07.861 [Philosopher-4; Meals=3]: Waiting for a nice seat...
11:54:07.862 [Philosopher-1; Meals=2]: Eating for 1 ms
11:54:07.863 [Philosopher-3; Meals=6]: Waiting for a nice seat...
11:54:07.884 [Philosopher-4; Meals=3]: Found a nice seat (Chair-2)
11:54:07.896 [Philosopher-2; Meals=0]: Found 2 forks! :D
11:54:07.898 [Philosopher-3; Meals=6]: Found a nice seat (Chair-4)
11:54:07.916 [Philosopher-4; Meals=3]: Waiting for 2 forks...
11:54:07.918 [Philosopher-1; Meals=2]: Release my fork (Fork-2 from Chair-2)
11:54:07.920 [Philosopher-3; Meals=6]: Waiting for 2 forks...
11:54:07.935 [Philosopher-2; Meals=1]: Eating for 1 ms
11:54:07.946 [Philosopher-1; Meals=2]: Release my fork (Fork-3 from Chair-3)
11:54:07.959 [Philosopher-2; Meals=1]: Release my fork (Fork-1 from Chair-1)
11:54:07.977 [Philosopher-1; Meals=2]: Stand up from seat (Chair-3)
11:54:07.977 [Philosopher-2; Meals=1]: Release my fork (Fork-4 from Chair-4)
11:54:07.987 [Philosopher-4; Meals=3]: Picked up fork (Fork-2 from Chair-2)
11:54:07.988 [Philosopher-2; Meals=1]: Stand up from seat (Chair-1)
11:54:07.998 [Philosopher-1; Meals=2]: Mediating for 5 ms
11:54:08.001 [Philosopher-2; Meals=1]: Mediating for 5 ms
11:54:08.001 [Philosopher-4; Meals=3]: Picked up fork (Fork-2 from Chair-2)
11:54:08.015 [Philosopher-4; Meals=3]: Found 2 forks! :D
11:54:08.020 [Philosopher-1; Meals=2]: Waiting for a nice seat...
11:54:08.029 [Philosopher-4; Meals=4]: Eating for 1 ms
11:54:08.032 [Philosopher-1; Meals=2]: Found a nice seat (Chair-1)
11:54:08.040 [Philosopher-2; Meals=1]: Waiting for a nice seat...
11:54:08.060 [Philosopher-1; Meals=2]: Waiting for 2 forks...
11:54:08.062 [Philosopher-2; Meals=1]: Found a nice seat (Chair-3)
11:54:08.070 [Philosopher-4; Meals=4]: Release my fork (Fork-1 from Chair-1)
11:54:08.094 [Philosopher-1; Meals=2]: Picked up fork (Fork-1 from Chair-1)
11:54:08.103 [Philosopher-2; Meals=1]: Waiting for 2 forks...
11:54:08.125 [Philosopher-4; Meals=4]: Release my fork (Fork-2 from Chair-2)
11:54:08.136 [Philosopher-1; Meals=2]: Picked up fork (Fork-1 from Chair-1)
11:54:08.150 [Philosopher-2; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:08.163 [Philosopher-4; Meals=4]: Stand up from seat (Chair-2)
11:54:08.166 [Philosopher-1; Meals=2]: Found 2 forks! :D
11:54:08.187 [Philosopher-2; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:08.196 [Philosopher-4; Meals=4]: Mediating for 5 ms
11:54:08.198 [Philosopher-1; Meals=3]: Eating for 1 ms
11:54:08.209 [Philosopher-2; Meals=1]: Found 2 forks! :D
11:54:08.214 [Philosopher-1; Meals=3]: Release my fork (Fork-1 from Chair-1)
11:54:08.219 [Philosopher-4; Meals=4]: Waiting for a nice seat...
11:54:08.220 [Philosopher-2; Meals=2]: Eating for 1 ms
11:54:08.224 [Philosopher-1; Meals=3]: Release my fork (Fork-4 from Chair-4)
11:54:08.230 [Philosopher-4; Meals=4]: Found a nice seat (Chair-2)
11:54:08.236 [Philosopher-2; Meals=2]: Release my fork (Fork-2 from Chair-2)
11:54:08.243 [Philosopher-4; Meals=4]: Waiting for 2 forks...
11:54:08.246 [Philosopher-1; Meals=3]: Stand up from seat (Chair-1)
11:54:08.248 [Philosopher-3; Meals=6]: Picked up fork (Fork-4 from Chair-4)
11:54:08.261 [Philosopher-2; Meals=2]: Release my fork (Fork-3 from Chair-3)
11:54:08.262 [Philosopher-1; Meals=3]: Mediating for 5 ms
11:54:08.263 [Philosopher-4; Meals=4]: Picked up fork (Fork-2 from Chair-2)
11:54:08.268 [Philosopher-3; Meals=6]: Release my fork (Fork-4 from Chair-4)
11:54:08.272 [Philosopher-2; Meals=2]: Stand up from seat (Chair-3)
11:54:08.275 [Philosopher-4; Meals=4]: Picked up fork (Fork-2 from Chair-2)
11:54:08.279 [Philosopher-1; Meals=3]: Sleeping for 10 ms
11:54:08.283 [Philosopher-2; Meals=2]: Mediating for 5 ms
11:54:08.286 [Philosopher-4; Meals=4]: Found 2 forks! :D
11:54:08.297 [Philosopher-4; Meals=5]: Eating for 1 ms
11:54:08.299 [Philosopher-2; Meals=2]: Waiting for a nice seat...
11:54:08.304 [Philosopher-1; Meals=3]: Waiting for a nice seat...
11:54:08.311 [Philosopher-4; Meals=5]: Release my fork (Fork-1 from Chair-1)
11:54:08.312 [Philosopher-3; Meals=6]: Picked up fork (Fork-4 from Chair-4)
11:54:08.314 [Philosopher-2; Meals=2]: Found a nice seat (Chair-1)
11:54:08.317 [Philosopher-1; Meals=3]: Found a nice seat (Chair-3)
11:54:08.323 [Philosopher-3; Meals=6]: Picked up fork (Fork-4 from Chair-4)
11:54:08.324 [Philosopher-4; Meals=5]: Release my fork (Fork-2 from Chair-2)
11:54:08.327 [Philosopher-2; Meals=2]: Waiting for 2 forks...
11:54:08.329 [Philosopher-1; Meals=3]: Waiting for 2 forks...
11:54:08.335 [Philosopher-4; Meals=5]: Stand up from seat (Chair-2)
11:54:08.336 [Philosopher-3; Meals=6]: Found 2 forks! :D
11:54:08.337 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
11:54:08.345 [Philosopher-1; Meals=3]: Picked up fork (Fork-3 from Chair-3)
11:54:08.346 [Philosopher-4; Meals=5]: Mediating for 5 ms
11:54:08.354 [Philosopher-3; Meals=7]: Eating for 1 ms
11:54:08.357 [Philosopher-2; Meals=2]: Release my fork (Fork-1 from Chair-1)
11:54:08.359 [Philosopher-1; Meals=3]: Release my fork (Fork-2 from Chair-2)
11:54:08.370 [Philosopher-3; Meals=7]: Release my fork (Fork-3 from Chair-3)
11:54:08.373 [Philosopher-4; Meals=5]: Waiting for a nice seat...
11:54:08.380 [Philosopher-3; Meals=7]: Release my fork (Fork-4 from Chair-4)
11:54:08.384 [Philosopher-4; Meals=5]: Found a nice seat (Chair-2)
11:54:08.392 [Philosopher-3; Meals=7]: Stand up from seat (Chair-4)
11:54:08.395 [Philosopher-4; Meals=5]: Waiting for 2 forks...
11:54:08.408 [Philosopher-3; Meals=7]: Mediating for 5 ms
11:54:08.411 [Philosopher-4; Meals=5]: Picked up fork (Fork-2 from Chair-2)
11:54:08.425 [Philosopher-3; Meals=7]: Waiting for a nice seat...
11:54:08.425 [Philosopher-4; Meals=5]: Picked up fork (Fork-2 from Chair-2)
11:54:08.434 [Philosopher-4; Meals=5]: Found 2 forks! :D
11:54:08.436 [Philosopher-3; Meals=7]: Found a nice seat (Chair-4)
11:54:08.444 [Philosopher-4; Meals=6]: Eating for 1 ms
11:54:08.446 [Philosopher-3; Meals=7]: Waiting for 2 forks...
11:54:08.453 [Philosopher-4; Meals=6]: Release my fork (Fork-1 from Chair-1)
11:54:08.455 [Philosopher-3; Meals=7]: Picked up fork (Fork-4 from Chair-4)
11:54:08.463 [Philosopher-4; Meals=6]: Release my fork (Fork-2 from Chair-2)
11:54:08.464 [Philosopher-3; Meals=7]: Picked up fork (Fork-4 from Chair-4)
11:54:08.471 [Philosopher-4; Meals=6]: Stand up from seat (Chair-2)
11:54:08.473 [Philosopher-3; Meals=7]: Found 2 forks! :D
11:54:08.482 [Philosopher-3; Meals=8]: Eating for 1 ms
11:54:08.482 [Philosopher-4; Meals=6]: Mediating for 5 ms
11:54:08.491 [Philosopher-3; Meals=8]: Release my fork (Fork-3 from Chair-3)
11:54:08.494 [Philosopher-4; Meals=6]: Sleeping for 10 ms
11:54:08.504 [Philosopher-3; Meals=8]: Release my fork (Fork-4 from Chair-4)
11:54:08.519 [Philosopher-3; Meals=8]: Stand up from seat (Chair-4)
11:54:08.529 [Philosopher-4; Meals=6]: Waiting for a nice seat...
11:54:08.541 [Philosopher-3; Meals=8]: Mediating for 5 ms
11:54:08.541 [Philosopher-4; Meals=6]: Found a nice seat (Chair-2)
11:54:08.553 [Philosopher-4; Meals=6]: Waiting for 2 forks...
11:54:08.558 [Philosopher-3; Meals=8]: Waiting for a nice seat...
11:54:08.564 [Philosopher-4; Meals=6]: Picked up fork (Fork-2 from Chair-2)
11:54:08.565 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
11:54:08.567 [Philosopher-3; Meals=8]: Found a nice seat (Chair-4)
11:54:08.573 [Philosopher-4; Meals=6]: Release my fork (Fork-2 from Chair-2)
11:54:08.575 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
11:54:08.579 [Philosopher-3; Meals=8]: Waiting for 2 forks...
11:54:08.583 [Philosopher-2; Meals=2]: Found 2 forks! :D
11:54:08.586 [Philosopher-3; Meals=8]: Picked up fork (Fork-4 from Chair-4)
11:54:08.590 [Philosopher-2; Meals=3]: Eating for 1 ms
11:54:08.593 [Philosopher-3; Meals=8]: Release my fork (Fork-3 from Chair-3)
11:54:08.598 [Philosopher-2; Meals=3]: Release my fork (Fork-1 from Chair-1)
11:54:08.607 [Philosopher-2; Meals=3]: Release my fork (Fork-4 from Chair-4)
11:54:08.614 [Philosopher-2; Meals=3]: Stand up from seat (Chair-1)
11:54:08.618 [Philosopher-1; Meals=3]: Picked up fork (Fork-3 from Chair-3)
11:54:08.620 [Philosopher-2; Meals=3]: Mediating for 5 ms
11:54:08.626 [Philosopher-1; Meals=3]: Picked up fork (Fork-3 from Chair-3)
11:54:08.633 [Philosopher-1; Meals=3]: Found 2 forks! :D
11:54:08.633 [Philosopher-2; Meals=3]: Sleeping for 10 ms
11:54:08.639 [Philosopher-1; Meals=4]: Eating for 1 ms
11:54:08.646 [Philosopher-1; Meals=4]: Release my fork (Fork-2 from Chair-2)
11:54:08.649 [Philosopher-2; Meals=3]: Waiting for a nice seat...
11:54:08.653 [Philosopher-1; Meals=4]: Release my fork (Fork-3 from Chair-3)
11:54:08.657 [Philosopher-2; Meals=3]: Found a nice seat (Chair-1)
11:54:08.661 [Philosopher-1; Meals=4]: Stand up from seat (Chair-3)
11:54:08.665 [Philosopher-2; Meals=3]: Waiting for 2 forks...
11:54:08.669 [Philosopher-1; Meals=4]: Mediating for 5 ms
11:54:08.673 [Philosopher-2; Meals=3]: Picked up fork (Fork-1 from Chair-1)
11:54:08.681 [Philosopher-1; Meals=4]: Waiting for a nice seat...
11:54:08.681 [Philosopher-2; Meals=3]: Picked up fork (Fork-1 from Chair-1)
11:54:08.689 [Philosopher-1; Meals=4]: Found a nice seat (Chair-3)
11:54:08.689 [Philosopher-2; Meals=3]: Found 2 forks! :D
11:54:08.695 [Philosopher-1; Meals=4]: Waiting for 2 forks...
11:54:08.695 [Philosopher-2; Meals=4]: Eating for 1 ms
11:54:08.704 [Philosopher-1; Meals=4]: Picked up fork (Fork-3 from Chair-3)
11:54:08.706 [Philosopher-2; Meals=4]: Release my fork (Fork-1 from Chair-1)
11:54:08.706 [Philosopher-4; Meals=6]: Picked up fork (Fork-2 from Chair-2)
11:54:08.713 [Philosopher-2; Meals=4]: Release my fork (Fork-4 from Chair-4)
11:54:08.714 [Philosopher-1; Meals=4]: Release my fork (Fork-3 from Chair-3)
11:54:08.717 [Philosopher-4; Meals=6]: Picked up fork (Fork-2 from Chair-2)
11:54:08.721 [Philosopher-2; Meals=4]: Stand up from seat (Chair-1)
11:54:08.725 [Philosopher-4; Meals=6]: Found 2 forks! :D
11:54:08.726 [Philosopher-3; Meals=8]: Picked up fork (Fork-4 from Chair-4)
11:54:08.729 [Philosopher-2; Meals=4]: Mediating for 5 ms
11:54:08.734 [Philosopher-3; Meals=8]: Picked up fork (Fork-4 from Chair-4)
11:54:08.734 [Philosopher-4; Meals=7]: Eating for 1 ms
11:54:08.742 [Philosopher-2; Meals=4]: Waiting for a nice seat...
11:54:08.742 [Philosopher-3; Meals=8]: Found 2 forks! :D
11:54:08.743 [Philosopher-4; Meals=7]: Release my fork (Fork-1 from Chair-1)
11:54:08.750 [Philosopher-2; Meals=4]: Found a nice seat (Chair-1)
11:54:08.751 [Philosopher-3; Meals=9]: Eating for 1 ms
11:54:08.753 [Philosopher-4; Meals=7]: Release my fork (Fork-2 from Chair-2)
11:54:08.759 [Philosopher-2; Meals=4]: Waiting for 2 forks...
11:54:08.761 [Philosopher-3; Meals=9]: Release my fork (Fork-3 from Chair-3)
11:54:08.764 [Philosopher-4; Meals=7]: Stand up from seat (Chair-2)
11:54:08.769 [Philosopher-2; Meals=4]: Picked up fork (Fork-1 from Chair-1)
11:54:08.771 [Philosopher-3; Meals=9]: Release my fork (Fork-4 from Chair-4)
11:54:08.773 [Philosopher-1; Meals=4]: Picked up fork (Fork-3 from Chair-3)
11:54:08.780 [Philosopher-2; Meals=4]: Release my fork (Fork-1 from Chair-1)
11:54:08.780 [Philosopher-4; Meals=7]: Mediating for 5 ms
11:54:08.784 [Philosopher-3; Meals=9]: Stand up from seat (Chair-4)
11:54:08.789 [Philosopher-1; Meals=4]: Picked up fork (Fork-3 from Chair-3)
11:54:08.795 [Philosopher-3; Meals=9]: Mediating for 5 ms
11:54:08.795 [Philosopher-4; Meals=7]: Waiting for a nice seat...
11:54:08.799 [Philosopher-1; Meals=4]: Found 2 forks! :D
11:54:08.805 [Philosopher-4; Meals=7]: Found a nice seat (Chair-2)
11:54:08.807 [Philosopher-1; Meals=5]: Eating for 1 ms
11:54:08.810 [Philosopher-3; Meals=9]: Sleeping for 10 ms
11:54:08.813 [Philosopher-4; Meals=7]: Waiting for 2 forks...
11:54:08.818 [Philosopher-1; Meals=5]: Release my fork (Fork-2 from Chair-2)
11:54:08.821 [Philosopher-4; Meals=7]: Picked up fork (Fork-2 from Chair-2)
11:54:08.825 [Philosopher-1; Meals=5]: Release my fork (Fork-3 from Chair-3)
11:54:08.828 [Philosopher-3; Meals=9]: Waiting for a nice seat...
11:54:08.828 [Philosopher-4; Meals=7]: Picked up fork (Fork-2 from Chair-2)
11:54:08.833 [Philosopher-1; Meals=5]: Stand up from seat (Chair-3)
11:54:08.837 [Philosopher-3; Meals=9]: Found a nice seat (Chair-4)
11:54:08.837 [Philosopher-4; Meals=7]: Found 2 forks! :D
11:54:08.846 [Philosopher-1; Meals=5]: Mediating for 5 ms
11:54:08.850 [Philosopher-4; Meals=8]: Eating for 1 ms
11:54:08.852 [Philosopher-3; Meals=9]: Waiting for 2 forks...
11:54:08.860 [Philosopher-3; Meals=9]: Picked up fork (Fork-4 from Chair-4)
11:54:08.861 [Philosopher-4; Meals=8]: Release my fork (Fork-1 from Chair-1)
11:54:08.862 [Philosopher-1; Meals=5]: Waiting for a nice seat...
11:54:08.869 [Philosopher-3; Meals=9]: Picked up fork (Fork-4 from Chair-4)
11:54:08.869 [Philosopher-4; Meals=8]: Release my fork (Fork-2 from Chair-2)
11:54:08.875 [Philosopher-1; Meals=5]: Found a nice seat (Chair-3)
11:54:08.878 [Philosopher-3; Meals=9]: Found 2 forks! :D
11:54:08.879 [Philosopher-4; Meals=8]: Stand up from seat (Chair-2)
11:54:08.884 [Philosopher-1; Meals=5]: Waiting for 2 forks...
11:54:08.889 [Philosopher-3; Meals=10]: Eating for 1 ms
11:54:08.889 [Philosopher-4; Meals=8]: Mediating for 5 ms
11:54:08.894 [Philosopher-1; Meals=5]: Picked up fork (Fork-3 from Chair-3)
11:54:08.897 [Philosopher-3; Meals=10]: Release my fork (Fork-3 from Chair-3)
11:54:08.902 [Philosopher-1; Meals=5]: Release my fork (Fork-2 from Chair-2)
11:54:08.903 [Philosopher-4; Meals=8]: Waiting for a nice seat...
11:54:08.905 [Philosopher-3; Meals=10]: Release my fork (Fork-4 from Chair-4)
11:54:08.911 [Philosopher-3; Meals=10]: Stand up from seat (Chair-4)
