11:17:54.759 [Hungry-Philosopher-1; Meals=0]: I'm alive!
11:17:55.075 [Hungry-Philosopher-1; Meals=0]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.075 [Hungry-Philosopher-2; Meals=1]: Stand up from seat (Chair-4)
11:17:55.077 [Hungry-Philosopher-3; Meals=1]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:17:55.083 [Hungry-Philosopher-4; Meals=1]: Waiting for a nice seat...
11:17:55.087 [Hungry-Philosopher-1; Meals=1]: Eating for 1 ms
11:17:55.096 [Hungry-Philosopher-2; Meals=1]: Mediating for 5 ms
11:17:55.099 [Hungry-Philosopher-3; Meals=1]: Stand up from seat (Chair-2)
11:17:55.099 [Hungry-Philosopher-5; Meals=0]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.101 [Hungry-Philosopher-4; Meals=1]: Found a nice seat (Chair-1)
11:17:55.110 [Hungry-Philosopher-1; Meals=1]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.113 [Hungry-Philosopher-3; Meals=1]: Mediating for 5 ms
11:17:55.115 [Hungry-Philosopher-5; Meals=1]: Eating for 1 ms
11:17:55.117 [Hungry-Philosopher-2; Meals=1]: Waiting for a nice seat...
11:17:55.124 [Hungry-Philosopher-4; Meals=1]: Waiting for 2 forks...
11:17:55.126 [Hungry-Philosopher-1; Meals=1]: Stand up from seat (Chair-5)
11:17:55.132 [Hungry-Philosopher-2; Meals=1]: Found a nice seat (Chair-2)
11:17:55.133 [Hungry-Philosopher-5; Meals=1]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.138 [Hungry-Philosopher-3; Meals=1]: Waiting for a nice seat...
11:17:55.143 [Hungry-Philosopher-4; Meals=1]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.145 [Hungry-Philosopher-1; Meals=1]: Mediating for 5 ms
11:17:55.150 [Hungry-Philosopher-5; Meals=1]: Stand up from seat (Chair-3)
11:17:55.154 [Hungry-Philosopher-2; Meals=1]: Waiting for 2 forks...
11:17:55.158 [Hungry-Philosopher-3; Meals=1]: Found a nice seat (Chair-5)
11:17:55.162 [Hungry-Philosopher-4; Meals=2]: Eating for 1 ms
11:17:55.164 [Hungry-Philosopher-5; Meals=1]: Mediating for 5 ms
11:17:55.173 [Hungry-Philosopher-1; Meals=1]: Waiting for a nice seat...
11:17:55.173 [Hungry-Philosopher-3; Meals=1]: Waiting for 2 forks...
11:17:55.179 [Hungry-Philosopher-5; Meals=1]: Waiting for a nice seat...
11:17:55.198 [Hungry-Philosopher-4; Meals=2]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.202 [Hungry-Philosopher-5; Meals=1]: Found a nice seat (Chair-3)
11:17:55.238 [Hungry-Philosopher-3; Meals=1]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.238 [Hungry-Philosopher-4; Meals=2]: Stand up from seat (Chair-1)
11:17:55.239 [Hungry-Philosopher-2; Meals=1]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:17:55.249 [Hungry-Philosopher-5; Meals=1]: Waiting for 2 forks...
11:17:55.253 [Hungry-Philosopher-4; Meals=2]: Mediating for 5 ms
11:17:55.255 [Hungry-Philosopher-1; Meals=1]: Found a nice seat (Chair-1)
11:17:55.267 [Hungry-Philosopher-3; Meals=2]: Eating for 1 ms
11:17:55.271 [Hungry-Philosopher-2; Meals=2]: Eating for 1 ms
11:17:55.283 [Hungry-Philosopher-3; Meals=2]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.284 [Hungry-Philosopher-1; Meals=1]: Waiting for 2 forks...
11:17:55.292 [Hungry-Philosopher-4; Meals=2]: Waiting for a nice seat...
11:17:55.293 [Hungry-Philosopher-3; Meals=2]: Stand up from seat (Chair-5)
11:17:55.304 [Hungry-Philosopher-2; Meals=2]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:17:55.347 [Hungry-Philosopher-2; Meals=2]: Stand up from seat (Chair-2)
11:17:55.347 [Hungry-Philosopher-5; Meals=1]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.348 [Hungry-Philosopher-1; Meals=1]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.348 [Hungry-Philosopher-3; Meals=2]: Mediating for 5 ms
11:17:55.349 [Hungry-Philosopher-4; Meals=2]: Found a nice seat (Chair-5)
11:17:55.359 [Hungry-Philosopher-2; Meals=2]: Mediating for 5 ms
11:17:55.370 [Hungry-Philosopher-5; Meals=2]: Eating for 1 ms
11:17:55.371 [Hungry-Philosopher-1; Meals=2]: Eating for 1 ms
11:17:55.373 [Hungry-Philosopher-4; Meals=2]: Waiting for 2 forks...
11:17:55.384 [Hungry-Philosopher-3; Meals=2]: Waiting for a nice seat...
11:17:55.386 [Hungry-Philosopher-2; Meals=2]: Waiting for a nice seat...
11:17:55.396 [Hungry-Philosopher-1; Meals=2]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.397 [Hungry-Philosopher-5; Meals=2]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.410 [Hungry-Philosopher-3; Meals=2]: Found a nice seat (Chair-2)
11:17:55.411 [Hungry-Philosopher-1; Meals=2]: Stand up from seat (Chair-1)
11:17:55.411 [Hungry-Philosopher-4; Meals=2]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.420 [Hungry-Philosopher-5; Meals=2]: Stand up from seat (Chair-3)
11:17:55.423 [Hungry-Philosopher-1; Meals=2]: Mediating for 5 ms
11:17:55.426 [Hungry-Philosopher-2; Meals=2]: Found a nice seat (Chair-1)
11:17:55.432 [Hungry-Philosopher-3; Meals=2]: Waiting for 2 forks...
11:17:55.432 [Hungry-Philosopher-4; Meals=3]: Eating for 1 ms
11:17:55.442 [Hungry-Philosopher-5; Meals=2]: Mediating for 5 ms
11:17:55.450 [Hungry-Philosopher-2; Meals=2]: Waiting for 2 forks...
11:17:55.451 [Hungry-Philosopher-4; Meals=3]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.454 [Hungry-Philosopher-1; Meals=2]: Waiting for a nice seat...
11:17:55.462 [Hungry-Philosopher-3; Meals=2]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:17:55.474 [Hungry-Philosopher-4; Meals=3]: Stand up from seat (Chair-5)
11:17:55.475 [Hungry-Philosopher-5; Meals=2]: Waiting for a nice seat...
11:17:55.488 [Hungry-Philosopher-1; Meals=2]: Found a nice seat (Chair-3)
11:17:55.488 [Hungry-Philosopher-3; Meals=3]: Eating for 1 ms
11:17:55.488 [Hungry-Philosopher-4; Meals=3]: Mediating for 5 ms
11:17:55.498 [Hungry-Philosopher-5; Meals=2]: Found a nice seat (Chair-5)
11:17:55.499 [Hungry-Philosopher-3; Meals=3]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:17:55.516 [Hungry-Philosopher-1; Meals=2]: Waiting for 2 forks...
11:17:55.516 [Hungry-Philosopher-3; Meals=3]: Stand up from seat (Chair-2)
11:17:55.518 [Hungry-Philosopher-2; Meals=2]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.526 [Hungry-Philosopher-5; Meals=2]: Waiting for 2 forks...
11:17:55.527 [Hungry-Philosopher-4; Meals=3]: Sleeping for 10 ms
11:17:55.528 [Hungry-Philosopher-3; Meals=3]: Mediating for 5 ms
11:17:55.538 [Hungry-Philosopher-1; Meals=2]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.546 [Hungry-Philosopher-2; Meals=3]: Eating for 1 ms
11:17:55.558 [Hungry-Philosopher-1; Meals=3]: Eating for 1 ms
11:17:55.559 [Hungry-Philosopher-2; Meals=3]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.566 [Hungry-Philosopher-3; Meals=3]: Sleeping for 10 ms
11:17:55.575 [Hungry-Philosopher-2; Meals=3]: Stand up from seat (Chair-1)
11:17:55.575 [Hungry-Philosopher-4; Meals=3]: Waiting for a nice seat...
11:17:55.575 [Hungry-Philosopher-5; Meals=2]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.576 [Hungry-Philosopher-1; Meals=3]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.597 [Hungry-Philosopher-3; Meals=3]: Waiting for a nice seat...
11:17:55.599 [Hungry-Philosopher-5; Meals=3]: Eating for 1 ms
11:17:55.601 [Hungry-Philosopher-2; Meals=3]: Mediating for 5 ms
11:17:55.605 [Hungry-Philosopher-1; Meals=3]: Stand up from seat (Chair-3)
11:17:55.608 [Hungry-Philosopher-3; Meals=3]: Found a nice seat (Chair-1)
11:17:55.610 [Hungry-Philosopher-5; Meals=3]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.619 [Hungry-Philosopher-1; Meals=3]: Mediating for 5 ms
11:17:55.621 [Hungry-Philosopher-4; Meals=3]: Found a nice seat (Chair-3)
11:17:55.624 [Hungry-Philosopher-5; Meals=3]: Stand up from seat (Chair-5)
11:17:55.628 [Hungry-Philosopher-2; Meals=3]: Sleeping for 10 ms
11:17:55.632 [Hungry-Philosopher-3; Meals=3]: Waiting for 2 forks...
11:17:55.637 [Hungry-Philosopher-4; Meals=3]: Waiting for 2 forks...
11:17:55.638 [Hungry-Philosopher-5; Meals=3]: Mediating for 5 ms
11:17:55.648 [Hungry-Philosopher-3; Meals=3]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.653 [Hungry-Philosopher-1; Meals=3]: Sleeping for 10 ms
11:17:55.653 [Hungry-Philosopher-4; Meals=3]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.660 [Hungry-Philosopher-2; Meals=3]: Waiting for a nice seat...
11:17:55.660 [Hungry-Philosopher-5; Meals=3]: Sleeping for 10 ms
11:17:55.664 [Hungry-Philosopher-3; Meals=4]: Eating for 1 ms
11:17:55.670 [Hungry-Philosopher-2; Meals=3]: Found a nice seat (Chair-5)
11:17:55.672 [Hungry-Philosopher-4; Meals=4]: Eating for 1 ms
11:17:55.677 [Hungry-Philosopher-3; Meals=4]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.680 [Hungry-Philosopher-2; Meals=3]: Waiting for 2 forks...
11:17:55.682 [Hungry-Philosopher-1; Meals=3]: Waiting for a nice seat...
11:17:55.688 [Hungry-Philosopher-3; Meals=4]: Stand up from seat (Chair-1)
11:17:55.689 [Hungry-Philosopher-5; Meals=3]: Waiting for a nice seat...
11:17:55.690 [Hungry-Philosopher-2; Meals=3]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.692 [Hungry-Philosopher-4; Meals=4]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.702 [Hungry-Philosopher-3; Meals=4]: Mediating for 5 ms
11:17:55.703 [Hungry-Philosopher-5; Meals=3]: Found a nice seat (Chair-1)
11:17:55.705 [Hungry-Philosopher-2; Meals=4]: Eating for 1 ms
11:17:55.713 [Hungry-Philosopher-4; Meals=4]: Stand up from seat (Chair-3)
11:17:55.714 [Hungry-Philosopher-5; Meals=3]: Waiting for 2 forks...
11:17:55.717 [Hungry-Philosopher-2; Meals=4]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.717 [Hungry-Philosopher-3; Meals=4]: Waiting for a nice seat...
11:17:55.725 [Hungry-Philosopher-2; Meals=4]: Stand up from seat (Chair-5)
11:17:55.725 [Hungry-Philosopher-4; Meals=4]: Mediating for 5 ms
11:17:55.727 [Hungry-Philosopher-1; Meals=3]: Found a nice seat (Chair-3)
11:17:55.730 [Hungry-Philosopher-5; Meals=3]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.737 [Hungry-Philosopher-1; Meals=3]: Waiting for 2 forks...
11:17:55.737 [Hungry-Philosopher-2; Meals=4]: Mediating for 5 ms
11:17:55.738 [Hungry-Philosopher-3; Meals=4]: Found a nice seat (Chair-5)
11:17:55.747 [Hungry-Philosopher-1; Meals=3]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.747 [Hungry-Philosopher-5; Meals=4]: Eating for 1 ms
11:17:55.750 [Hungry-Philosopher-4; Meals=4]: Waiting for a nice seat...
11:17:55.752 [Hungry-Philosopher-2; Meals=4]: Waiting for a nice seat...
11:17:55.752 [Hungry-Philosopher-3; Meals=4]: Waiting for 2 forks...
11:17:55.763 [Hungry-Philosopher-1; Meals=4]: Eating for 1 ms
11:17:55.763 [Hungry-Philosopher-5; Meals=4]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.775 [Hungry-Philosopher-5; Meals=4]: Stand up from seat (Chair-1)
11:17:55.776 [Hungry-Philosopher-3; Meals=4]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.781 [Hungry-Philosopher-1; Meals=4]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.784 [Hungry-Philosopher-5; Meals=4]: Mediating for 5 ms
11:17:55.786 [Hungry-Philosopher-2; Meals=4]: Found a nice seat (Chair-1)
11:17:55.793 [Hungry-Philosopher-3; Meals=5]: Eating for 1 ms
11:17:55.797 [Hungry-Philosopher-1; Meals=4]: Stand up from seat (Chair-3)
11:17:55.800 [Hungry-Philosopher-5; Meals=4]: Waiting for a nice seat...
11:17:55.805 [Hungry-Philosopher-2; Meals=4]: Waiting for 2 forks...
11:17:55.809 [Hungry-Philosopher-3; Meals=5]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.811 [Hungry-Philosopher-1; Meals=4]: Mediating for 5 ms
11:17:55.813 [Hungry-Philosopher-5; Meals=4]: Found a nice seat (Chair-3)
11:17:55.823 [Hungry-Philosopher-2; Meals=4]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.823 [Hungry-Philosopher-3; Meals=5]: Stand up from seat (Chair-5)
11:17:55.830 [Hungry-Philosopher-5; Meals=4]: Waiting for 2 forks...
11:17:55.831 [Hungry-Philosopher-1; Meals=4]: Waiting for a nice seat...
11:17:55.833 [Hungry-Philosopher-3; Meals=5]: Mediating for 5 ms
11:17:55.835 [Hungry-Philosopher-4; Meals=4]: Found a nice seat (Chair-5)
11:17:55.840 [Hungry-Philosopher-2; Meals=5]: Eating for 1 ms
11:17:55.842 [Hungry-Philosopher-5; Meals=4]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.848 [Hungry-Philosopher-3; Meals=5]: Waiting for a nice seat...
11:17:55.849 [Hungry-Philosopher-4; Meals=4]: Waiting for 2 forks...
11:17:55.851 [Hungry-Philosopher-2; Meals=5]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.858 [Hungry-Philosopher-5; Meals=5]: Eating for 1 ms
11:17:55.862 [Hungry-Philosopher-2; Meals=5]: Stand up from seat (Chair-1)
11:17:55.862 [Hungry-Philosopher-4; Meals=4]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.872 [Hungry-Philosopher-2; Meals=5]: Mediating for 5 ms
11:17:55.872 [Hungry-Philosopher-3; Meals=5]: Found a nice seat (Chair-1)
11:17:55.872 [Hungry-Philosopher-4; Meals=5]: Eating for 1 ms
11:17:55.873 [Hungry-Philosopher-5; Meals=5]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.882 [Hungry-Philosopher-4; Meals=5]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.890 [Hungry-Philosopher-3; Meals=5]: Waiting for 2 forks...
11:17:55.891 [Hungry-Philosopher-5; Meals=5]: Stand up from seat (Chair-3)
11:17:55.893 [Hungry-Philosopher-4; Meals=5]: Stand up from seat (Chair-5)
11:17:55.899 [Hungry-Philosopher-2; Meals=5]: Waiting for a nice seat...
11:17:55.904 [Hungry-Philosopher-1; Meals=4]: Found a nice seat (Chair-5)
11:17:55.904 [Hungry-Philosopher-4; Meals=5]: Mediating for 5 ms
11:17:55.905 [Hungry-Philosopher-3; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.905 [Hungry-Philosopher-5; Meals=5]: Mediating for 5 ms
11:17:55.914 [Hungry-Philosopher-2; Meals=5]: Found a nice seat (Chair-3)
11:17:55.917 [Hungry-Philosopher-1; Meals=4]: Waiting for 2 forks...
11:17:55.919 [Hungry-Philosopher-4; Meals=5]: Waiting for a nice seat...
11:17:55.923 [Hungry-Philosopher-5; Meals=5]: Waiting for a nice seat...
11:17:55.927 [Hungry-Philosopher-3; Meals=6]: Eating for 1 ms
11:17:55.929 [Hungry-Philosopher-2; Meals=5]: Waiting for 2 forks...
11:17:55.939 [Hungry-Philosopher-3; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:55.946 [Hungry-Philosopher-2; Meals=5]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:55.950 [Hungry-Philosopher-1; Meals=4]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:55.951 [Hungry-Philosopher-3; Meals=6]: Stand up from seat (Chair-1)
11:17:55.956 [Hungry-Philosopher-2; Meals=6]: Eating for 1 ms
11:17:55.961 [Hungry-Philosopher-1; Meals=5]: Eating for 1 ms
11:17:55.963 [Hungry-Philosopher-3; Meals=6]: Mediating for 5 ms
11:17:55.965 [Hungry-Philosopher-4; Meals=5]: Found a nice seat (Chair-1)
11:17:55.968 [Hungry-Philosopher-2; Meals=6]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:55.971 [Hungry-Philosopher-1; Meals=5]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:55.976 [Hungry-Philosopher-4; Meals=5]: Waiting for 2 forks...
11:17:55.979 [Hungry-Philosopher-2; Meals=6]: Stand up from seat (Chair-3)
11:17:55.984 [Hungry-Philosopher-1; Meals=5]: Stand up from seat (Chair-5)
11:17:55.984 [Hungry-Philosopher-3; Meals=6]: Sleeping for 10 ms
11:17:55.990 [Hungry-Philosopher-2; Meals=6]: Mediating for 5 ms
11:17:55.992 [Hungry-Philosopher-4; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:55.992 [Hungry-Philosopher-5; Meals=5]: Found a nice seat (Chair-3)
11:17:56.004 [Hungry-Philosopher-5; Meals=5]: Waiting for 2 forks...
11:17:56.029 [Hungry-Philosopher-2; Meals=6]: Sleeping for 10 ms
11:17:56.033 [Hungry-Philosopher-1; Meals=5]: Mediating for 5 ms
11:17:56.043 [Hungry-Philosopher-4; Meals=6]: Eating for 1 ms
11:17:56.044 [Hungry-Philosopher-5; Meals=5]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:56.051 [Hungry-Philosopher-3; Meals=6]: Waiting for a nice seat...
11:17:56.062 [Hungry-Philosopher-1; Meals=5]: Waiting for a nice seat...
11:17:56.062 [Hungry-Philosopher-3; Meals=6]: Found a nice seat (Chair-5)
11:17:56.064 [Hungry-Philosopher-4; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:56.065 [Hungry-Philosopher-2; Meals=6]: Waiting for a nice seat...
11:17:56.067 [Hungry-Philosopher-5; Meals=6]: Eating for 1 ms
11:17:56.082 [Hungry-Philosopher-3; Meals=6]: Waiting for 2 forks...
11:17:56.082 [Hungry-Philosopher-4; Meals=6]: Stand up from seat (Chair-1)
11:17:56.084 [Hungry-Philosopher-5; Meals=6]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:56.092 [Hungry-Philosopher-4; Meals=6]: Mediating for 5 ms
11:17:56.094 [Hungry-Philosopher-1; Meals=5]: Found a nice seat (Chair-1)
11:17:56.095 [Hungry-Philosopher-3; Meals=6]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:56.096 [Hungry-Philosopher-5; Meals=6]: Stand up from seat (Chair-3)
11:17:56.106 [Hungry-Philosopher-4; Meals=6]: Sleeping for 10 ms
11:17:56.110 [Hungry-Philosopher-1; Meals=5]: Waiting for 2 forks...
11:17:56.110 [Hungry-Philosopher-3; Meals=7]: Eating for 1 ms
11:17:56.120 [Hungry-Philosopher-3; Meals=7]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:56.120 [Hungry-Philosopher-5; Meals=6]: Mediating for 5 ms
11:17:56.121 [Hungry-Philosopher-2; Meals=6]: Found a nice seat (Chair-3)
11:17:56.129 [Hungry-Philosopher-4; Meals=6]: Waiting for a nice seat...
11:17:56.132 [Hungry-Philosopher-1; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:56.132 [Hungry-Philosopher-3; Meals=7]: Stand up from seat (Chair-5)
11:17:56.141 [Hungry-Philosopher-5; Meals=6]: Sleeping for 10 ms
11:17:56.146 [Hungry-Philosopher-2; Meals=6]: Waiting for 2 forks...
11:17:56.146 [Hungry-Philosopher-3; Meals=7]: Mediating for 5 ms
11:17:56.148 [Hungry-Philosopher-4; Meals=6]: Found a nice seat (Chair-5)
11:17:56.153 [Hungry-Philosopher-1; Meals=6]: Eating for 1 ms
11:17:56.156 [Hungry-Philosopher-2; Meals=6]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:56.172 [Hungry-Philosopher-3; Meals=7]: Waiting for a nice seat...
11:17:56.172 [Hungry-Philosopher-4; Meals=6]: Waiting for 2 forks...
11:17:56.174 [Hungry-Philosopher-5; Meals=6]: Waiting for a nice seat...
11:17:56.184 [Hungry-Philosopher-1; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:56.194 [Hungry-Philosopher-2; Meals=7]: Eating for 1 ms
11:17:56.200 [Hungry-Philosopher-1; Meals=6]: Stand up from seat (Chair-1)
11:17:56.200 [Hungry-Philosopher-4; Meals=6]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:17:56.204 [Hungry-Philosopher-2; Meals=7]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:56.209 [Hungry-Philosopher-1; Meals=6]: Mediating for 5 ms
11:17:56.209 [Hungry-Philosopher-4; Meals=7]: Eating for 1 ms
11:17:56.210 [Hungry-Philosopher-3; Meals=7]: Found a nice seat (Chair-1)
11:17:56.214 [Hungry-Philosopher-2; Meals=7]: Stand up from seat (Chair-3)
11:17:56.220 [Hungry-Philosopher-4; Meals=7]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:17:56.225 [Hungry-Philosopher-1; Meals=6]: Sleeping for 10 ms
11:17:56.230 [Hungry-Philosopher-4; Meals=7]: Stand up from seat (Chair-5)
11:17:56.234 [Hungry-Philosopher-3; Meals=7]: Waiting for 2 forks...
11:17:56.235 [Hungry-Philosopher-2; Meals=7]: Mediating for 5 ms
11:17:56.237 [Hungry-Philosopher-5; Meals=6]: Found a nice seat (Chair-3)
11:17:56.244 [Hungry-Philosopher-3; Meals=7]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:56.244 [Hungry-Philosopher-4; Meals=7]: Mediating for 5 ms
11:17:56.247 [Hungry-Philosopher-5; Meals=6]: Waiting for 2 forks...
11:17:56.253 [Hungry-Philosopher-2; Meals=7]: Waiting for a nice seat...
11:17:56.254 [Hungry-Philosopher-1; Meals=6]: Waiting for a nice seat...
11:17:56.256 [Hungry-Philosopher-5; Meals=6]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:17:56.259 [Hungry-Philosopher-4; Meals=7]: Waiting for a nice seat...
11:17:56.263 [Hungry-Philosopher-3; Meals=8]: Eating for 1 ms
11:17:56.266 [Hungry-Philosopher-5; Meals=7]: Eating for 1 ms
11:17:56.271 [Hungry-Philosopher-1; Meals=6]: Found a nice seat (Chair-5)
11:17:56.276 [Hungry-Philosopher-3; Meals=8]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:56.282 [Hungry-Philosopher-5; Meals=7]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:17:56.283 [Hungry-Philosopher-1; Meals=6]: Waiting for 2 forks...
11:17:56.285 [Hungry-Philosopher-3; Meals=8]: Stand up from seat (Chair-1)
