12:04:47.548 [Hungry-Philosopher-1; Meals=0]: I'm alive!
12:04:47.751 [Philosopher-2; Meals=1]: Waiting for a nice seat...
12:04:47.759 [Philosopher-2; Meals=1]: Found a nice seat (Chair-1)
12:04:47.766 [Philosopher-2; Meals=1]: Waiting for 2 forks...
12:04:47.773 [Philosopher-2; Meals=1]: Picked up fork (Fork-1 from Chair-1)
12:04:47.781 [Philosopher-2; Meals=1]: Picked up fork (Fork-1 from Chair-1)
12:04:47.791 [Philosopher-2; Meals=1]: Found 2 forks! :D
12:04:47.798 [Philosopher-2; Meals=2]: Eating for 1 ms
12:04:47.799 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:04:47.807 [Philosopher-2; Meals=2]: Release my fork (Fork-4 from Chair-4)
12:04:47.807 [Philosopher-4; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:04:47.816 [Philosopher-2; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:04:47.824 [Philosopher-2; Meals=2]: Stand up from seat (Chair-1)
12:04:47.831 [Philosopher-2; Meals=2]: Mediating for 5 ms
12:04:47.836 [Philosopher-3; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:04:47.845 [Philosopher-2; Meals=2]: Waiting for a nice seat...
12:04:47.846 [Philosopher-3; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:04:47.855 [Philosopher-2; Meals=2]: Found a nice seat (Chair-1)
12:04:47.855 [Philosopher-3; Meals=0]: Found 2 forks! :D
12:04:47.864 [Philosopher-2; Meals=2]: Waiting for 2 forks...
12:04:47.865 [Philosopher-3; Meals=1]: Eating for 1 ms
12:04:47.874 [Hungry-Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:04:47.875 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:47.876 [Philosopher-3; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:04:47.886 [Philosopher-3; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:04:47.887 [Hungry-Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:04:47.889 [Philosopher-2; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:04:47.897 [Hungry-Philosopher-1; Meals=0]: Found 2 forks! :D
12:04:47.897 [Philosopher-3; Meals=1]: Stand up from seat (Chair-4)
12:04:47.907 [Hungry-Philosopher-1; Meals=1]: Eating for 1 ms
12:04:47.907 [Philosopher-3; Meals=1]: Mediating for 5 ms
12:04:47.916 [Hungry-Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:04:47.921 [Philosopher-3; Meals=1]: Waiting for a nice seat...
12:04:47.925 [Hungry-Philosopher-1; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:04:47.931 [Philosopher-3; Meals=1]: Found a nice seat (Chair-4)
12:04:47.935 [Hungry-Philosopher-1; Meals=1]: Stand up from seat (Chair-3)
12:04:47.942 [Philosopher-3; Meals=1]: Waiting for 2 forks...
12:04:47.945 [Hungry-Philosopher-1; Meals=1]: Mediating for 2 ms
12:04:47.952 [Philosopher-3; Meals=1]: Picked up fork (Fork-4 from Chair-4)
12:04:47.958 [Hungry-Philosopher-1; Meals=1]: Waiting for a nice seat...
12:04:47.965 [Philosopher-3; Meals=1]: Picked up fork (Fork-4 from Chair-4)
12:04:47.968 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:47.970 [Hungry-Philosopher-1; Meals=1]: Found a nice seat (Chair-3)
12:04:47.978 [Philosopher-3; Meals=1]: Found 2 forks! :D
12:04:47.981 [Philosopher-2; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:04:47.983 [Hungry-Philosopher-1; Meals=1]: Waiting for 2 forks...
12:04:47.989 [Philosopher-3; Meals=2]: Eating for 1 ms
12:04:47.994 [Hungry-Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:04:47.999 [Philosopher-3; Meals=2]: Release my fork (Fork-3 from Chair-3)
12:04:48.003 [Hungry-Philosopher-1; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:04:48.008 [Philosopher-3; Meals=2]: Release my fork (Fork-4 from Chair-4)
12:04:48.016 [Philosopher-3; Meals=2]: Stand up from seat (Chair-4)
12:04:48.023 [Philosopher-3; Meals=2]: Mediating for 5 ms
12:04:48.035 [Philosopher-3; Meals=2]: Waiting for a nice seat...
12:04:48.044 [Philosopher-3; Meals=2]: Found a nice seat (Chair-4)
12:04:48.052 [Philosopher-3; Meals=2]: Waiting for 2 forks...
12:04:48.054 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:48.059 [Philosopher-3; Meals=2]: Picked up fork (Fork-4 from Chair-4)
12:04:48.063 [Philosopher-2; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:04:48.069 [Philosopher-3; Meals=2]: Picked up fork (Fork-4 from Chair-4)
12:04:48.077 [Philosopher-3; Meals=2]: Found 2 forks! :D
12:04:48.085 [Philosopher-3; Meals=3]: Eating for 1 ms
12:04:48.095 [Philosopher-3; Meals=3]: Release my fork (Fork-3 from Chair-3)
12:04:48.103 [Philosopher-3; Meals=3]: Release my fork (Fork-4 from Chair-4)
12:04:48.109 [Philosopher-3; Meals=3]: Stand up from seat (Chair-4)
12:04:48.117 [Philosopher-3; Meals=3]: Mediating for 5 ms
12:04:48.130 [Philosopher-3; Meals=3]: Sleeping for 10 ms
12:04:48.149 [Hungry-Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:04:48.151 [Philosopher-3; Meals=3]: Waiting for a nice seat...
12:04:48.179 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:04:48.186 [Hungry-Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
12:04:48.192 [Philosopher-3; Meals=3]: Found a nice seat (Chair-4)
12:04:48.194 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:04:48.204 [Philosopher-3; Meals=3]: Waiting for 2 forks...
12:04:48.204 [Philosopher-4; Meals=0]: Found 2 forks! :D
12:04:48.207 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:48.216 [Philosopher-3; Meals=3]: Picked up fork (Fork-4 from Chair-4)
12:04:48.217 [Philosopher-2; Meals=2]: Release my fork (Fork-4 from Chair-4)
12:04:48.227 [Philosopher-3; Meals=3]: Release my fork (Fork-3 from Chair-3)
12:04:48.228 [Philosopher-4; Meals=1]: Eating for 1 ms
12:04:48.237 [Philosopher-4; Meals=1]: Release my fork (Fork-2 from Chair-2)
12:04:48.244 [Philosopher-4; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:04:48.253 [Philosopher-4; Meals=1]: Stand up from seat (Chair-2)
12:04:48.263 [Philosopher-4; Meals=1]: Mediating for 5 ms
12:04:48.275 [Philosopher-4; Meals=1]: Waiting for a nice seat...
12:04:48.286 [Philosopher-4; Meals=1]: Found a nice seat (Chair-2)
12:04:48.306 [Philosopher-4; Meals=1]: Waiting for 2 forks...
12:04:48.316 [Philosopher-4; Meals=1]: Picked up fork (Fork-2 from Chair-2)
12:04:48.324 [Philosopher-4; Meals=1]: Picked up fork (Fork-2 from Chair-2)
12:04:48.331 [Philosopher-4; Meals=1]: Found 2 forks! :D
12:04:48.337 [Philosopher-4; Meals=2]: Eating for 1 ms
12:04:48.345 [Philosopher-4; Meals=2]: Release my fork (Fork-2 from Chair-2)
12:04:48.352 [Philosopher-4; Meals=2]: Release my fork (Fork-1 from Chair-1)
12:04:48.359 [Philosopher-4; Meals=2]: Stand up from seat (Chair-2)
12:04:48.367 [Philosopher-4; Meals=2]: Mediating for 5 ms
12:04:48.379 [Philosopher-4; Meals=2]: Waiting for a nice seat...
12:04:48.388 [Philosopher-4; Meals=2]: Found a nice seat (Chair-2)
12:04:48.396 [Philosopher-4; Meals=2]: Waiting for 2 forks...
12:04:48.410 [Philosopher-4; Meals=2]: Picked up fork (Fork-2 from Chair-2)
12:04:48.420 [Philosopher-4; Meals=2]: Picked up fork (Fork-2 from Chair-2)
12:04:48.426 [Philosopher-4; Meals=2]: Found 2 forks! :D
12:04:48.434 [Philosopher-4; Meals=3]: Eating for 1 ms
12:04:48.444 [Hungry-Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:04:48.444 [Philosopher-4; Meals=3]: Release my fork (Fork-2 from Chair-2)
12:04:48.453 [Hungry-Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
12:04:48.453 [Philosopher-4; Meals=3]: Release my fork (Fork-1 from Chair-1)
12:04:48.461 [Hungry-Philosopher-1; Meals=1]: Found 2 forks! :D
12:04:48.461 [Philosopher-4; Meals=3]: Stand up from seat (Chair-2)
12:04:48.470 [Hungry-Philosopher-1; Meals=2]: Eating for 1 ms
12:04:48.470 [Philosopher-4; Meals=3]: Mediating for 5 ms
12:04:48.478 [Hungry-Philosopher-1; Meals=2]: Release my fork (Fork-3 from Chair-3)
12:04:48.483 [Philosopher-4; Meals=3]: Sleeping for 10 ms
12:04:48.487 [Hungry-Philosopher-1; Meals=2]: Release my fork (Fork-2 from Chair-2)
12:04:48.494 [Hungry-Philosopher-1; Meals=2]: Stand up from seat (Chair-3)
12:04:48.501 [Philosopher-4; Meals=3]: Waiting for a nice seat...
12:04:48.503 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:48.504 [Hungry-Philosopher-1; Meals=2]: Mediating for 2 ms
12:04:48.512 [Philosopher-4; Meals=3]: Found a nice seat (Chair-2)
12:04:48.514 [Philosopher-2; Meals=2]: Picked up fork (Fork-1 from Chair-1)
12:04:48.516 [Hungry-Philosopher-1; Meals=2]: Waiting for a nice seat...
12:04:48.523 [Philosopher-4; Meals=3]: Waiting for 2 forks...
12:04:48.526 [Hungry-Philosopher-1; Meals=2]: Found a nice seat (Chair-3)
12:04:48.526 [Philosopher-2; Meals=2]: Found 2 forks! :D
12:04:48.537 [Philosopher-4; Meals=3]: Picked up fork (Fork-2 from Chair-2)
12:04:48.543 [Hungry-Philosopher-1; Meals=2]: Waiting for 2 forks...
12:04:48.548 [Philosopher-4; Meals=3]: Release my fork (Fork-2 from Chair-2)
12:04:48.553 [Philosopher-2; Meals=3]: Eating for 1 ms
12:04:48.564 [Hungry-Philosopher-1; Meals=2]: Picked up fork (Fork-3 from Chair-3)
12:04:48.574 [Philosopher-2; Meals=3]: Release my fork (Fork-4 from Chair-4)
12:04:48.579 [Hungry-Philosopher-1; Meals=2]: Picked up fork (Fork-3 from Chair-3)
12:04:48.590 [Philosopher-2; Meals=3]: Release my fork (Fork-1 from Chair-1)
12:04:48.592 [Hungry-Philosopher-1; Meals=2]: Found 2 forks! :D
12:04:48.598 [Philosopher-2; Meals=3]: Stand up from seat (Chair-1)
12:04:48.599 [Hungry-Philosopher-1; Meals=3]: Eating for 1 ms
12:04:48.608 [Philosopher-2; Meals=3]: Mediating for 5 ms
12:04:48.609 [Hungry-Philosopher-1; Meals=3]: Release my fork (Fork-3 from Chair-3)
12:04:48.616 [Philosopher-3; Meals=3]: Picked up fork (Fork-4 from Chair-4)
12:04:48.618 [Hungry-Philosopher-1; Meals=3]: Release my fork (Fork-2 from Chair-2)
12:04:48.626 [Philosopher-2; Meals=3]: Sleeping for 10 ms
12:04:48.629 [Hungry-Philosopher-1; Meals=3]: Stand up from seat (Chair-3)
12:04:48.631 [Philosopher-3; Meals=3]: Picked up fork (Fork-4 from Chair-4)
12:04:48.640 [Hungry-Philosopher-1; Meals=3]: Mediating for 2 ms
12:04:48.643 [Philosopher-3; Meals=3]: Found 2 forks! :D
12:04:48.647 [Philosopher-2; Meals=3]: Waiting for a nice seat...
12:04:48.653 [Hungry-Philosopher-1; Meals=3]: Waiting for a nice seat...
12:04:48.654 [Philosopher-3; Meals=4]: Eating for 1 ms
12:04:48.662 [Philosopher-2; Meals=3]: Found a nice seat (Chair-1)
12:04:48.663 [Hungry-Philosopher-1; Meals=3]: Found a nice seat (Chair-3)
12:04:48.670 [Philosopher-3; Meals=4]: Release my fork (Fork-3 from Chair-3)
12:04:48.674 [Philosopher-2; Meals=3]: Waiting for 2 forks...
12:04:48.677 [Hungry-Philosopher-1; Meals=3]: Waiting for 2 forks...
12:04:48.684 [Philosopher-3; Meals=4]: Release my fork (Fork-4 from Chair-4)
12:04:48.689 [Philosopher-2; Meals=3]: Picked up fork (Fork-1 from Chair-1)
12:04:48.693 [Hungry-Philosopher-1; Meals=3]: Picked up fork (Fork-3 from Chair-3)
12:04:48.695 [Philosopher-3; Meals=4]: Stand up from seat (Chair-4)
12:04:48.700 [Philosopher-2; Meals=3]: Picked up fork (Fork-1 from Chair-1)
12:04:48.704 [Hungry-Philosopher-1; Meals=3]: Picked up fork (Fork-3 from Chair-3)
12:04:48.705 [Philosopher-3; Meals=4]: Mediating for 5 ms
12:04:48.711 [Philosopher-2; Meals=3]: Found 2 forks! :D
12:04:48.715 [Hungry-Philosopher-1; Meals=3]: Found 2 forks! :D
12:04:48.721 [Philosopher-3; Meals=4]: Waiting for a nice seat...
12:04:48.722 [Philosopher-2; Meals=4]: Eating for 1 ms
12:04:48.723 [Hungry-Philosopher-1; Meals=4]: Eating for 1 ms
12:04:48.734 [Philosopher-2; Meals=4]: Release my fork (Fork-4 from Chair-4)
12:04:48.734 [Philosopher-3; Meals=4]: Found a nice seat (Chair-4)
12:04:48.737 [Hungry-Philosopher-1; Meals=4]: Release my fork (Fork-3 from Chair-3)
12:04:48.744 [Philosopher-3; Meals=4]: Waiting for 2 forks...
12:04:48.745 [Philosopher-2; Meals=4]: Release my fork (Fork-1 from Chair-1)
12:04:48.748 [Hungry-Philosopher-1; Meals=4]: Release my fork (Fork-2 from Chair-2)
12:04:48.754 [Philosopher-3; Meals=4]: Picked up fork (Fork-4 from Chair-4)
12:04:48.756 [Philosopher-2; Meals=4]: Stand up from seat (Chair-1)
12:04:48.760 [Hungry-Philosopher-1; Meals=4]: Stand up from seat (Chair-3)
12:04:48.767 [Philosopher-3; Meals=4]: Picked up fork (Fork-4 from Chair-4)
12:04:48.768 [Philosopher-2; Meals=4]: Mediating for 5 ms
12:04:48.773 [Hungry-Philosopher-1; Meals=4]: Mediating for 2 ms
12:04:48.778 [Philosopher-3; Meals=4]: Found 2 forks! :D
12:04:48.785 [Philosopher-2; Meals=4]: Waiting for a nice seat...
12:04:48.787 [Hungry-Philosopher-1; Meals=4]: Waiting for a nice seat...
12:04:48.788 [Philosopher-3; Meals=5]: Eating for 1 ms
12:04:48.796 [Philosopher-2; Meals=4]: Found a nice seat (Chair-1)
12:04:48.799 [Hungry-Philosopher-1; Meals=4]: Found a nice seat (Chair-3)
12:04:48.799 [Philosopher-3; Meals=5]: Release my fork (Fork-3 from Chair-3)
12:04:48.807 [Philosopher-2; Meals=4]: Waiting for 2 forks...
12:04:48.811 [Hungry-Philosopher-1; Meals=4]: Waiting for 2 forks...
12:04:48.818 [Philosopher-3; Meals=5]: Release my fork (Fork-4 from Chair-4)
12:04:48.820 [Philosopher-2; Meals=4]: Picked up fork (Fork-1 from Chair-1)
12:04:48.822 [Hungry-Philosopher-1; Meals=4]: Picked up fork (Fork-3 from Chair-3)
12:04:48.830 [Philosopher-2; Meals=4]: Release my fork (Fork-1 from Chair-1)
12:04:48.830 [Philosopher-3; Meals=5]: Stand up from seat (Chair-4)
12:04:48.832 [Hungry-Philosopher-1; Meals=4]: Picked up fork (Fork-3 from Chair-3)
12:04:48.840 [Philosopher-3; Meals=5]: Mediating for 5 ms
12:04:48.842 [Hungry-Philosopher-1; Meals=4]: Found 2 forks! :D
12:04:48.852 [Hungry-Philosopher-1; Meals=5]: Eating for 1 ms
12:04:48.856 [Philosopher-3; Meals=5]: Waiting for a nice seat...
12:04:48.861 [Hungry-Philosopher-1; Meals=5]: Release my fork (Fork-3 from Chair-3)
12:04:48.866 [Philosopher-3; Meals=5]: Found a nice seat (Chair-4)
12:04:48.869 [Hungry-Philosopher-1; Meals=5]: Release my fork (Fork-2 from Chair-2)
12:04:48.879 [Philosopher-4; Meals=3]: Picked up fork (Fork-2 from Chair-2)
12:04:48.881 [Hungry-Philosopher-1; Meals=5]: Stand up from seat (Chair-3)
12:04:48.893 [Philosopher-3; Meals=5]: Waiting for 2 forks...
12:04:48.903 [Philosopher-4; Meals=3]: Picked up fork (Fork-2 from Chair-2)
12:04:48.905 [Hungry-Philosopher-1; Meals=5]: Mediating for 2 ms
12:04:48.907 [Philosopher-3; Meals=5]: Picked up fork (Fork-4 from Chair-4)
12:04:48.914 [Philosopher-4; Meals=3]: Found 2 forks! :D
12:04:48.916 [Philosopher-3; Meals=5]: Picked up fork (Fork-4 from Chair-4)
12:04:48.918 [Hungry-Philosopher-1; Meals=5]: Waiting for a nice seat...
12:04:48.926 [Philosopher-4; Meals=4]: Eating for 1 ms
12:04:48.928 [Philosopher-3; Meals=5]: Found 2 forks! :D
12:04:48.931 [Hungry-Philosopher-1; Meals=5]: Found a nice seat (Chair-3)
12:04:48.940 [Philosopher-4; Meals=4]: Release my fork (Fork-2 from Chair-2)
12:04:48.941 [Philosopher-3; Meals=6]: Eating for 1 ms
12:04:48.943 [Hungry-Philosopher-1; Meals=5]: Waiting for 2 forks...
12:04:48.953 [Philosopher-4; Meals=4]: Release my fork (Fork-1 from Chair-1)
12:04:48.954 [Hungry-Philosopher-1; Meals=5]: Picked up fork (Fork-3 from Chair-3)
12:04:48.955 [Philosopher-3; Meals=6]: Release my fork (Fork-3 from Chair-3)
12:04:48.964 [Philosopher-4; Meals=4]: Stand up from seat (Chair-2)
12:04:48.965 [Hungry-Philosopher-1; Meals=5]: Release my fork (Fork-2 from Chair-2)
12:04:48.968 [Philosopher-3; Meals=6]: Release my fork (Fork-4 from Chair-4)
12:04:48.975 [Philosopher-4; Meals=4]: Mediating for 5 ms
12:04:48.979 [Philosopher-3; Meals=6]: Stand up from seat (Chair-4)
12:04:48.989 [Philosopher-3; Meals=6]: Mediating for 5 ms
12:04:48.990 [Philosopher-4; Meals=4]: Waiting for a nice seat...
12:04:48.997 [Philosopher-4; Meals=4]: Found a nice seat (Chair-2)
12:04:48.999 [Philosopher-2; Meals=4]: Picked up fork (Fork-1 from Chair-1)
12:04:49.006 [Philosopher-3; Meals=6]: Sleeping for 10 ms
12:04:49.009 [Philosopher-4; Meals=4]: Waiting for 2 forks...
12:04:49.011 [Philosopher-2; Meals=4]: Picked up fork (Fork-1 from Chair-1)
12:04:49.022 [Philosopher-4; Meals=4]: Picked up fork (Fork-2 from Chair-2)
12:04:49.026 [Philosopher-2; Meals=4]: Found 2 forks! :D
12:04:49.031 [Philosopher-3; Meals=6]: Waiting for a nice seat...
12:04:49.048 [Philosopher-4; Meals=4]: Release my fork (Fork-2 from Chair-2)
12:04:49.056 [Philosopher-2; Meals=5]: Eating for 1 ms
12:04:49.063 [Philosopher-3; Meals=6]: Found a nice seat (Chair-4)
12:04:49.074 [Philosopher-3; Meals=6]: Waiting for 2 forks...
12:04:49.085 [Philosopher-3; Meals=6]: Picked up fork (Fork-4 from Chair-4)
12:04:49.106 [Philosopher-2; Meals=5]: Release my fork (Fork-4 from Chair-4)
12:04:49.137 [Philosopher-3; Meals=6]: Release my fork (Fork-3 from Chair-3)
12:04:49.181 [Philosopher-2; Meals=5]: Release my fork (Fork-1 from Chair-1)
12:04:49.201 [Philosopher-2; Meals=5]: Stand up from seat (Chair-1)
12:04:49.228 [Philosopher-2; Meals=5]: Mediating for 5 ms
12:04:49.246 [Philosopher-2; Meals=5]: Waiting for a nice seat...
12:04:49.258 [Philosopher-2; Meals=5]: Found a nice seat (Chair-1)
12:04:49.261 [Hungry-Philosopher-1; Meals=5]: Picked up fork (Fork-3 from Chair-3)
12:04:49.275 [Philosopher-2; Meals=5]: Waiting for 2 forks...
12:04:49.285 [Hungry-Philosopher-1; Meals=5]: Picked up fork (Fork-3 from Chair-3)
12:04:49.297 [Hungry-Philosopher-1; Meals=5]: Found 2 forks! :D
12:04:49.297 [Philosopher-2; Meals=5]: Picked up fork (Fork-1 from Chair-1)
12:04:49.309 [Philosopher-2; Meals=5]: Picked up fork (Fork-1 from Chair-1)
12:04:49.312 [Hungry-Philosopher-1; Meals=6]: Eating for 1 ms
12:04:49.322 [Philosopher-2; Meals=5]: Found 2 forks! :D
12:04:49.332 [Philosopher-2; Meals=6]: Eating for 1 ms
12:04:49.344 [Philosopher-2; Meals=6]: Release my fork (Fork-4 from Chair-4)
12:04:49.345 [Hungry-Philosopher-1; Meals=6]: Release my fork (Fork-3 from Chair-3)
12:04:49.382 [Philosopher-2; Meals=6]: Release my fork (Fork-1 from Chair-1)
12:04:49.383 [Hungry-Philosopher-1; Meals=6]: Release my fork (Fork-2 from Chair-2)
12:04:49.401 [Hungry-Philosopher-1; Meals=6]: Stand up from seat (Chair-3)
12:04:49.405 [Philosopher-2; Meals=6]: Stand up from seat (Chair-1)
12:04:49.418 [Hungry-Philosopher-1; Meals=6]: Mediating for 2 ms
12:04:49.438 [Philosopher-4; Meals=4]: Picked up fork (Fork-2 from Chair-2)
12:04:49.453 [Philosopher-2; Meals=6]: Mediating for 5 ms
12:04:49.455 [Philosopher-4; Meals=4]: Picked up fork (Fork-2 from Chair-2)
12:04:49.471 [Hungry-Philosopher-1; Meals=6]: Sleeping for 10 ms
12:04:49.480 [Philosopher-4; Meals=4]: Found 2 forks! :D
12:04:49.486 [Philosopher-2; Meals=6]: Sleeping for 10 ms
12:04:49.493 [Philosopher-4; Meals=5]: Eating for 1 ms
12:04:49.497 [Hungry-Philosopher-1; Meals=6]: Waiting for a nice seat...
12:04:49.505 [Philosopher-4; Meals=5]: Release my fork (Fork-2 from Chair-2)
12:04:49.507 [Hungry-Philosopher-1; Meals=6]: Found a nice seat (Chair-1)
12:04:49.507 [Philosopher-2; Meals=6]: Waiting for a nice seat...
12:04:49.515 [Philosopher-4; Meals=5]: Release my fork (Fork-1 from Chair-1)
12:04:49.518 [Hungry-Philosopher-1; Meals=6]: Waiting for 2 forks...
12:04:49.521 [Philosopher-2; Meals=6]: Found a nice seat (Chair-3)
12:04:49.526 [Philosopher-4; Meals=5]: Stand up from seat (Chair-2)
12:04:49.529 [Hungry-Philosopher-1; Meals=6]: Picked up fork (Fork-1 from Chair-1)
12:04:49.530 [Philosopher-2; Meals=6]: Waiting for 2 forks...
12:04:49.536 [Philosopher-4; Meals=5]: Mediating for 5 ms
12:04:49.539 [Hungry-Philosopher-1; Meals=6]: Picked up fork (Fork-1 from Chair-1)
12:04:49.541 [Philosopher-2; Meals=6]: Picked up fork (Fork-3 from Chair-3)
12:04:49.548 [Hungry-Philosopher-1; Meals=6]: Found 2 forks! :D
12:04:49.550 [Philosopher-2; Meals=6]: Picked up fork (Fork-3 from Chair-3)
12:04:49.550 [Philosopher-4; Meals=5]: Waiting for a nice seat...
12:04:49.558 [Hungry-Philosopher-1; Meals=7]: Eating for 1 ms
12:04:49.559 [Philosopher-2; Meals=6]: Found 2 forks! :D
12:04:49.560 [Philosopher-4; Meals=5]: Found a nice seat (Chair-2)
12:04:49.568 [Philosopher-2; Meals=7]: Eating for 1 ms
12:04:49.569 [Philosopher-4; Meals=5]: Waiting for 2 forks...
12:04:49.570 [Hungry-Philosopher-1; Meals=7]: Release my fork (Fork-4 from Chair-4)
12:04:49.579 [Hungry-Philosopher-1; Meals=7]: Release my fork (Fork-1 from Chair-1)
12:04:49.580 [Philosopher-2; Meals=7]: Release my fork (Fork-3 from Chair-3)
12:04:49.590 [Hungry-Philosopher-1; Meals=7]: Stand up from seat (Chair-1)
12:04:49.591 [Philosopher-2; Meals=7]: Release my fork (Fork-2 from Chair-2)
12:04:49.600 [Hungry-Philosopher-1; Meals=7]: Mediating for 2 ms
12:04:49.601 [Philosopher-2; Meals=7]: Stand up from seat (Chair-3)
12:04:49.605 [Philosopher-4; Meals=5]: Picked up fork (Fork-2 from Chair-2)
12:04:49.619 [Philosopher-2; Meals=7]: Mediating for 5 ms
12:04:49.622 [Hungry-Philosopher-1; Meals=7]: Waiting for a nice seat...
12:04:49.622 [Philosopher-4; Meals=5]: Picked up fork (Fork-2 from Chair-2)
12:04:49.632 [Hungry-Philosopher-1; Meals=7]: Found a nice seat (Chair-1)
12:04:49.632 [Philosopher-4; Meals=5]: Found 2 forks! :D
12:04:49.641 [Hungry-Philosopher-1; Meals=7]: Waiting for 2 forks...
12:04:49.641 [Philosopher-2; Meals=7]: Waiting for a nice seat...
12:04:49.641 [Philosopher-4; Meals=6]: Eating for 1 ms
12:04:49.650 [Hungry-Philosopher-1; Meals=7]: Picked up fork (Fork-1 from Chair-1)
12:04:49.650 [Philosopher-2; Meals=7]: Found a nice seat (Chair-3)
12:04:49.651 [Philosopher-4; Meals=6]: Release my fork (Fork-2 from Chair-2)
12:04:49.661 [Philosopher-2; Meals=7]: Waiting for 2 forks...
12:04:49.662 [Philosopher-4; Meals=6]: Release my fork (Fork-1 from Chair-1)
12:04:49.664 [Hungry-Philosopher-1; Meals=7]: Release my fork (Fork-4 from Chair-4)
12:04:49.677 [Philosopher-2; Meals=7]: Picked up fork (Fork-3 from Chair-3)
12:04:49.678 [Philosopher-4; Meals=6]: Stand up from seat (Chair-2)
12:04:49.687 [Philosopher-2; Meals=7]: Picked up fork (Fork-3 from Chair-3)
12:04:49.687 [Philosopher-4; Meals=6]: Mediating for 5 ms
12:04:49.699 [Philosopher-2; Meals=7]: Found 2 forks! :D
12:04:49.704 [Philosopher-4; Meals=6]: Sleeping for 10 ms
