11:29:59.257 [Hungry-Philosopher-1; Meals=0]: I'm alive!
11:30:00.443 [Hungry-Philosopher-3; Meals=4]: Waiting for 2 forks...
11:30:00.445 [Hungry-Philosopher-1; Meals=4]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.447 [Hungry-Philosopher-5; Meals=4]: Waiting for a nice seat...
11:30:00.461 [Hungry-Philosopher-1; Meals=4]: Stand up from seat (Chair-2)
11:30:00.461 [Hungry-Philosopher-3; Meals=4]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.471 [Hungry-Philosopher-1; Meals=4]: Mediating for 5 ms
11:30:00.471 [Hungry-Philosopher-2; Meals=3]: Found a nice seat (Chair-2)
11:30:00.471 [Hungry-Philosopher-3; Meals=5]: Eating for 1 ms
11:30:00.481 [Hungry-Philosopher-2; Meals=3]: Waiting for 2 forks...
11:30:00.484 [Hungry-Philosopher-3; Meals=5]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.485 [Hungry-Philosopher-1; Meals=4]: Waiting for a nice seat...
11:30:00.495 [Hungry-Philosopher-2; Meals=3]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.495 [Hungry-Philosopher-3; Meals=5]: Stand up from seat (Chair-1)
11:30:00.504 [Hungry-Philosopher-2; Meals=4]: Eating for 1 ms
11:30:00.504 [Hungry-Philosopher-3; Meals=5]: Mediating for 5 ms
11:30:00.505 [Hungry-Philosopher-4; Meals=4]: Found a nice seat (Chair-1)
11:30:00.515 [Hungry-Philosopher-2; Meals=4]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.515 [Hungry-Philosopher-4; Meals=4]: Waiting for 2 forks...
11:30:00.520 [Hungry-Philosopher-3; Meals=5]: Waiting for a nice seat...
11:30:00.526 [Hungry-Philosopher-2; Meals=4]: Stand up from seat (Chair-2)
11:30:00.527 [Hungry-Philosopher-4; Meals=4]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.536 [Hungry-Philosopher-2; Meals=4]: Mediating for 5 ms
11:30:00.537 [Hungry-Philosopher-3; Meals=5]: Found a nice seat (Chair-2)
11:30:00.547 [Hungry-Philosopher-4; Meals=5]: Eating for 1 ms
11:30:00.552 [Hungry-Philosopher-2; Meals=4]: Waiting for a nice seat...
11:30:00.568 [Hungry-Philosopher-3; Meals=5]: Waiting for 2 forks...
11:30:00.577 [Hungry-Philosopher-4; Meals=5]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.588 [Hungry-Philosopher-3; Meals=5]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.588 [Hungry-Philosopher-4; Meals=5]: Stand up from seat (Chair-1)
11:30:00.600 [Hungry-Philosopher-3; Meals=6]: Eating for 1 ms
11:30:00.608 [Hungry-Philosopher-1; Meals=4]: Found a nice seat (Chair-1)
11:30:00.610 [Hungry-Philosopher-4; Meals=5]: Mediating for 5 ms
11:30:00.615 [Hungry-Philosopher-3; Meals=6]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.621 [Hungry-Philosopher-1; Meals=4]: Waiting for 2 forks...
11:30:00.628 [Hungry-Philosopher-3; Meals=6]: Stand up from seat (Chair-2)
11:30:00.630 [Hungry-Philosopher-4; Meals=5]: Waiting for a nice seat...
11:30:00.633 [Hungry-Philosopher-1; Meals=4]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.638 [Hungry-Philosopher-3; Meals=6]: Mediating for 5 ms
11:30:00.640 [Hungry-Philosopher-2; Meals=4]: Found a nice seat (Chair-2)
11:30:00.650 [Hungry-Philosopher-1; Meals=5]: Eating for 1 ms
11:30:00.651 [Hungry-Philosopher-2; Meals=4]: Waiting for 2 forks...
11:30:00.655 [Hungry-Philosopher-3; Meals=6]: Sleeping for 10 ms
11:30:00.662 [Hungry-Philosopher-1; Meals=5]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.672 [Hungry-Philosopher-1; Meals=5]: Stand up from seat (Chair-1)
11:30:00.672 [Hungry-Philosopher-2; Meals=4]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.678 [Hungry-Philosopher-3; Meals=6]: Waiting for a nice seat...
11:30:00.682 [Hungry-Philosopher-1; Meals=5]: Mediating for 5 ms
11:30:00.682 [Hungry-Philosopher-4; Meals=5]: Found a nice seat (Chair-1)
11:30:00.684 [Hungry-Philosopher-2; Meals=5]: Eating for 1 ms
11:30:00.694 [Hungry-Philosopher-4; Meals=5]: Waiting for 2 forks...
11:30:00.697 [Hungry-Philosopher-1; Meals=5]: Waiting for a nice seat...
11:30:00.706 [Hungry-Philosopher-2; Meals=5]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.717 [Hungry-Philosopher-2; Meals=5]: Stand up from seat (Chair-2)
11:30:00.717 [Hungry-Philosopher-4; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.725 [Hungry-Philosopher-2; Meals=5]: Mediating for 5 ms
11:30:00.726 [Hungry-Philosopher-4; Meals=6]: Eating for 1 ms
11:30:00.726 [Hungry-Philosopher-5; Meals=4]: Found a nice seat (Chair-2)
11:30:00.736 [Hungry-Philosopher-4; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.741 [Hungry-Philosopher-2; Meals=5]: Waiting for a nice seat...
11:30:00.746 [Hungry-Philosopher-5; Meals=4]: Waiting for 2 forks...
11:30:00.754 [Hungry-Philosopher-4; Meals=6]: Stand up from seat (Chair-1)
11:30:00.761 [Hungry-Philosopher-5; Meals=4]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.769 [Hungry-Philosopher-2; Meals=5]: Found a nice seat (Chair-1)
11:30:00.769 [Hungry-Philosopher-4; Meals=6]: Mediating for 5 ms
11:30:00.774 [Hungry-Philosopher-5; Meals=5]: Eating for 1 ms
11:30:00.785 [Hungry-Philosopher-4; Meals=6]: Sleeping for 10 ms
11:30:00.786 [Hungry-Philosopher-2; Meals=5]: Waiting for 2 forks...
11:30:00.789 [Hungry-Philosopher-5; Meals=5]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.799 [Hungry-Philosopher-2; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.799 [Hungry-Philosopher-5; Meals=5]: Stand up from seat (Chair-2)
11:30:00.805 [Hungry-Philosopher-4; Meals=6]: Waiting for a nice seat...
11:30:00.809 [Hungry-Philosopher-5; Meals=5]: Mediating for 5 ms
11:30:00.810 [Hungry-Philosopher-2; Meals=6]: Eating for 1 ms
11:30:00.811 [Hungry-Philosopher-1; Meals=5]: Found a nice seat (Chair-2)
11:30:00.826 [Hungry-Philosopher-2; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.827 [Hungry-Philosopher-1; Meals=5]: Waiting for 2 forks...
11:30:00.836 [Hungry-Philosopher-5; Meals=5]: Waiting for a nice seat...
11:30:00.838 [Hungry-Philosopher-1; Meals=5]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.853 [Hungry-Philosopher-2; Meals=6]: Stand up from seat (Chair-1)
11:30:00.868 [Hungry-Philosopher-2; Meals=6]: Mediating for 5 ms
11:30:00.869 [Hungry-Philosopher-5; Meals=5]: Found a nice seat (Chair-1)
11:30:00.870 [Hungry-Philosopher-1; Meals=6]: Eating for 1 ms
11:30:00.880 [Hungry-Philosopher-5; Meals=5]: Waiting for 2 forks...
11:30:00.882 [Hungry-Philosopher-1; Meals=6]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.891 [Hungry-Philosopher-2; Meals=6]: Sleeping for 10 ms
11:30:00.907 [Hungry-Philosopher-5; Meals=5]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.908 [Hungry-Philosopher-1; Meals=6]: Stand up from seat (Chair-2)
11:30:00.917 [Hungry-Philosopher-5; Meals=6]: Eating for 1 ms
11:30:00.918 [Hungry-Philosopher-1; Meals=6]: Mediating for 5 ms
11:30:00.919 [Hungry-Philosopher-4; Meals=6]: Found a nice seat (Chair-2)
11:30:00.927 [Hungry-Philosopher-2; Meals=6]: Waiting for a nice seat...
11:30:00.929 [Hungry-Philosopher-4; Meals=6]: Waiting for 2 forks...
11:30:00.929 [Hungry-Philosopher-5; Meals=6]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.939 [Hungry-Philosopher-1; Meals=6]: Sleeping for 10 ms
11:30:00.944 [Hungry-Philosopher-4; Meals=6]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.944 [Hungry-Philosopher-5; Meals=6]: Stand up from seat (Chair-1)
11:30:00.956 [Hungry-Philosopher-4; Meals=7]: Eating for 1 ms
11:30:00.957 [Hungry-Philosopher-3; Meals=6]: Found a nice seat (Chair-1)
11:30:00.957 [Hungry-Philosopher-5; Meals=6]: Mediating for 5 ms
11:30:00.963 [Hungry-Philosopher-1; Meals=6]: Waiting for a nice seat...
11:30:00.974 [Hungry-Philosopher-3; Meals=6]: Waiting for 2 forks...
11:30:00.975 [Hungry-Philosopher-4; Meals=7]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.979 [Hungry-Philosopher-5; Meals=6]: Sleeping for 10 ms
11:30:00.983 [Hungry-Philosopher-3; Meals=6]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.983 [Hungry-Philosopher-4; Meals=7]: Stand up from seat (Chair-2)
11:30:00.992 [Hungry-Philosopher-1; Meals=6]: Found a nice seat (Chair-2)
11:30:00.992 [Hungry-Philosopher-3; Meals=7]: Eating for 1 ms
11:30:00.992 [Hungry-Philosopher-4; Meals=7]: Mediating for 5 ms
11:30:01.001 [Hungry-Philosopher-1; Meals=6]: Waiting for 2 forks...
11:30:01.001 [Hungry-Philosopher-5; Meals=6]: Waiting for a nice seat...
11:30:01.002 [Hungry-Philosopher-3; Meals=7]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:01.007 [Hungry-Philosopher-4; Meals=7]: Waiting for a nice seat...
11:30:01.020 [Hungry-Philosopher-1; Meals=6]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:01.020 [Hungry-Philosopher-3; Meals=7]: Stand up from seat (Chair-1)
11:30:01.029 [Hungry-Philosopher-1; Meals=7]: Eating for 1 ms
11:30:01.029 [Hungry-Philosopher-3; Meals=7]: Mediating for 5 ms
11:30:01.030 [Hungry-Philosopher-2; Meals=6]: Found a nice seat (Chair-1)
11:30:01.039 [Hungry-Philosopher-2; Meals=6]: Waiting for 2 forks...
11:30:01.040 [Hungry-Philosopher-1; Meals=7]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:01.044 [Hungry-Philosopher-3; Meals=7]: Waiting for a nice seat...
11:30:01.049 [Hungry-Philosopher-1; Meals=7]: Stand up from seat (Chair-2)
11:30:01.049 [Hungry-Philosopher-2; Meals=6]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:01.059 [Hungry-Philosopher-2; Meals=7]: Eating for 1 ms
11:30:01.061 [Hungry-Philosopher-5; Meals=6]: Found a nice seat (Chair-2)
11:30:01.062 [Hungry-Philosopher-1; Meals=7]: Mediating for 5 ms
11:30:01.072 [Hungry-Philosopher-2; Meals=7]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:01.072 [Hungry-Philosopher-5; Meals=6]: Waiting for 2 forks...
11:30:01.086 [Hungry-Philosopher-1; Meals=7]: Waiting for a nice seat...
11:30:01.087 [Hungry-Philosopher-2; Meals=7]: Stand up from seat (Chair-1)
11:30:01.087 [Hungry-Philosopher-5; Meals=6]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:01.098 [Hungry-Philosopher-2; Meals=7]: Mediating for 5 ms
11:30:01.099 [Hungry-Philosopher-3; Meals=7]: Found a nice seat (Chair-1)
11:30:01.108 [Hungry-Philosopher-3; Meals=7]: Waiting for 2 forks...
11:30:01.113 [Hungry-Philosopher-2; Meals=7]: Waiting for a nice seat...
11:30:01.117 [Hungry-Philosopher-5; Meals=7]: Eating for 1 ms
